fld,kw,tbl_id,tbl_nm,period,ts_len,source,path
공공질서및안전,범죄 발생,DT_13204_3104,범죄 발생부터 검거까지의 기간,년 (2011 ~ 2022),12,"경찰청,「경찰청범죄통계」",주제별통계 > 범죄ㆍ안전 > 경찰청범죄통계 > 2011년 이후 > 범죄발생·검거 및 수사결과 현황 > 범죄 발생부터 검거까지의 기간
공공질서및안전,범죄 발생,DT_13204_2011_211,범죄 발생 및 검거 현황(전국),년 (2011 ~ 2022),12,"경찰청,「경찰청범죄통계」",주제별통계 > 범죄ㆍ안전 > 경찰청범죄통계 > 2011년 이후 > 범죄발생·검거 및 수사결과 현황 > 범죄 발생 및 검거 현황 > 범죄 발생 및
공공질서및안전,범죄 발생,DT_13204_2011_N212,범죄 발생 및 검거 현황(경찰청),년 (2011 ~ 2022),12,"경찰청,「경찰청범죄통계」",주제별통계 > 범죄ㆍ안전 > 경찰청범죄통계 > 2011년 이후 > 범죄발생·검거 및 수사결과 현황 > 범죄 발생 및 검거 현황 > 범죄 발생 및
공공질서및안전,범죄 발생,DT_13204_2011_N213,범죄 발생 및 검거 현황(서울청),년 (2011 ~ 2022),12,"경찰청,「경찰청범죄통계」",주제별통계 > 범죄ㆍ안전 > 경찰청범죄통계 > 2011년 이후 > 범죄발생·검거 및 수사결과 현황 > 범죄 발생 및 검거 현황 > 범죄 발생 및
교육,학생 1인당,DT_1PE103,학교급 및 특성별 학생 1인당 사교육 참여시간(주당 평균),년 (2007 ~ 2025),19,"국가데이터처, 교육부,「초중고사교육비조사」",주제별통계 > 교육ㆍ훈련 > 초중고사교육비조사 > 학교급 및 특성별 결과 > [전체학생] > 학교급 및 특성별 학생 1인당 사교육 참여시간(주당
교육,교원 1인당,DT_112017N_040,과학기술 분야 전임교원 1인당 특허 출원 및 등록 평균 현황,년 (2011 ~ 2024),14,"교육부,「대학산학협력활동실태조사」",주제별통계 > 교육ㆍ훈련 > 대학산학협력활동실태조사 > 지식재산권 및 기술사업화 > 과학기술 분야 전임교원 1인당 특허 출원 및 등록 평균 현황
교육,교원 1인당,DT_112017N_055,과학기술 분야 전임교원 1인당 기술이전 건수 및 기술료 현황,년 (2011 ~ 2024),14,"교육부,「대학산학협력활동실태조사」",주제별통계 > 교육ㆍ훈련 > 대학산학협력활동실태조사 > 지식재산권 및 기술사업화 > 과학기술 분야 전임교원 1인당 기술이전 건수 및 기술료 현황
교통및물류,자동차 등록,DT_11001N_2013_A033,자동차 등록대수,년 (2009 ~ 2020),12,"행정안전부,「한국도시통계」",주제별통계 > 사회일반 > 한국도시통계 > 한국도시통계(2009~2022) > 건설·교통 > 자동차 등록대수
국토및지역개발,주택보급률,DT_MLTM_2100,(新)주택보급률,년 (2005 ~ 2024),20,"국토교통부,「주택보급률」",주제별통계 > 주거 > 주택보급률 > (新)주택보급률
국토및지역개발,주택보급률,DT_MLTM_592,(종전)주택보급률,년 (1995 ~ 2014),20,"국토교통부,「주택보급률」",주제별통계 > 주거 > 주택보급률 > (종전)주택보급률
농림수산,농가 소득,DT_114_2016_S0003,양잠농가 소득현황,년 (2013 ~ 2024),12,"농림축산식품부,「기능성양잠산업현황」",주제별통계 > 농림 > 기능성양잠산업현황 > 2013년 이후 > 양잠농가 소득현황
일반·지방행정,지방세,DT_11001N_2013_A012,1인당 지방세 부담액 및 지방재정자립도,년 (2009 ~ 2020),12,"행정안전부,「한국도시통계」",주제별통계 > 사회일반 > 한국도시통계 > 한국도시통계(2009~2022) > 공공행정 및 재정 > 1인당 지방세 부담액 및 지방재정자립도
일반·지방행정,지방재정,DT_11001N_2013_A012,1인당 지방세 부담액 및 지방재정자립도,년 (2009 ~ 2020),12,"행정안전부,「한국도시통계」",주제별통계 > 사회일반 > 한국도시통계 > 한국도시통계(2009~2022) > 공공행정 및 재정 > 1인당 지방세 부담액 및 지방재정자립도
환경,폐기물 발생,DT_11001N_2013_A054,1일 1인당 폐기물 발생량,년 (2009 ~ 2020),12,"행정안전부,「한국도시통계」",주제별통계 > 사회일반 > 한국도시통계 > 한국도시통계(2009~2022) > 생활환경 > 1일 1인당 폐기물 발생량
