year,sido,total_vehicles
2011,강원,557.25
2011,광주,392.6666666666667
2011,대구,446.75
2011,대전,490.3333333333333
2011,울산,346.5
2011,인천,433.0
2011,전남,729798.6666666666
2011,전북,468.8333333333333
2011,제주,367.9166666666667
2011,충남,429.0
2011,충북,492.25
2012,강원,517.5
2012,광주,646.9166666666666
2012,대구,481.0
2012,대전,473.5833333333333
2012,세종,611.3333333333334
2012,울산,568.9166666666666
2012,인천,378.5
2012,전남,755872.5833333334
2012,전북,525.8333333333334
2012,제주,489.5833333333333
2012,충남,432.25
2012,충북,616.4166666666666
2013,강원,483.5833333333333
2013,광주,531.5833333333334
2013,대구,407.3333333333333
2013,대전,568.4166666666666
2013,세종,515.8333333333334
2013,울산,475.9166666666667
2013,인천,414.1666666666667
2013,전남,785716.75
2013,전북,464.9166666666667
2013,제주,470.6666666666667
2013,충남,503.8333333333333
2013,충북,471.6666666666667
2014,강원,657.4166666666666
2014,광주,628.1666666666666
2014,대구,394.6666666666667
2014,대전,577.4166666666666
2014,세종,437.0833333333333
2014,울산,420.1666666666667
2014,인천,370.0
2014,전남,822759.0833333334
2014,전북,410.1666666666667
2014,제주,554.25
2014,충남,547.1666666666666
2014,충북,554.0833333333334
2015,강원,414.8333333333333
2015,광주,467.3333333333333
2015,대전,579.6666666666666
2015,세종,265.4166666666667
2015,울산,382.6666666666667
2015,전남,872206.0
2015,전북,140122.0
2015,제주,531.75
2015,충남,638011.5833333334
2015,충북,533.9166666666666
2016,강원,481.25
2016,광주,529.4166666666666
2016,대전,514.9166666666666
2016,세종,484.4166666666667
2016,울산,475.5
2016,전남,928152.25
2016,전북,856665.25
2016,제주,544.25
2016,충남,986762.8571428572
2016,충북,451.1666666666667
2017,강원,735644.5
2017,광주,434.0
2017,대전,596.3333333333334
2017,세종,570.4166666666666
2017,울산,396.6666666666667
2017,전남,975449.3333333334
2017,전북,882293.6666666666
2017,제주,642.25
2017,충북,66056.83333333333
2018,강원,757944.4166666666
2018,광주,695.0833333333334
2018,대전,628.6666666666666
2018,세종,502.4166666666667
2018,울산,560.6666666666666
2018,전남,998715.0
2018,전북,905586.6666666666
2018,제주,480.6666666666667
2018,충북,802308.4166666666
2019,강원,776006.75
2019,광주,422.0833333333333
2019,대전,622.8333333333334
2019,세종,413.3333333333333
2019,울산,388.5833333333333
2019,전북,924709.1666666666
2019,제주,389.0
2019,충북,829257.3333333334
2020,강원,796648.9166666666
2020,광주,287708.8333333333
2020,대전,171786.58333333334
2020,세종,525.6666666666666
2020,울산,554.0833333333334
2020,전북,939385.9166666666
2020,제주,487.3333333333333
2020,충북,853389.0833333334
2021,강원,819354.5
2021,광주,695953.75
2021,대전,689510.1666666666
2021,세종,486.5
2021,울산,48929.833333333336
2021,전북,955090.5
2021,제주,566.1666666666666
2021,충북,881118.25
2022,강원,840972.6666666666
2022,광주,707980.8333333334
2022,대전,700840.4166666666
2022,세종,497.0833333333333
2022,울산,584999.25
2022,전북,969464.1666666666
2022,제주,597.25
2022,충북,905768.0833333334
2023,강원,861319.6666666666
2023,광주,719200.75
2023,대전,715445.25
2023,세종,497.5
2023,울산,595353.5833333334
2023,전북,987433.6666666666
2023,제주,633.0833333333334
2023,충북,929610.4166666666
2024,강원,871858.5833333334
2024,광주,727623.25
2024,대전,731190.25
2024,세종,451.0833333333333
2024,울산,604099.0
2024,전북,997451.75
2024,제주,492.0833333333333
2024,충북,944007.0833333334
2025,강원,877380.1666666666
2025,광주,729950.25
2025,대전,742160.75
2025,세종,449.4166666666667
2025,울산,609920.25
2025,제주,580.3333333333334
2025,충북,952664.75
2026,강원,880752.6666666666
2026,광주,730193.6666666666
2026,대전,747898.0
2026,세종,528.3333333333334
2026,울산,612514.0
2026,제주,663.0
2026,충북,959683.0
