dtaCtlgNm(분류),dsHgNm(데이터명),instNm(자료제공처),alyDataDtaPrdDes(분석기간),lastMdfcnTdtTxt(최종수정),dsId,dsHgEpl(설명)
산업·중소기업·에너지,10대수입품목내역,e-나라지표,,,tw_imid547,"1) 출처 : 관세청(정보데이터기획담당관) 2) 원천데이터 : 10대 수출입 품목 3) 시간적 범위 : 1996년 ~ 연단위 제공 4) 내용적 범위 : 연도별 및 순위별 수입품목 내역 제공   · 통계 구분 → 연도별, 순위별   · 통계 단위 → 백만불 5) 자료제공처 : e-나라지표 6) 기타   · 반입되거나 반출되는 물품 중 상위 10대 품목에 대한 실적"
산업·중소기업·에너지,10대수출품목내역,e-나라지표,,,tw_imid546,"1) 출처 : 관세청(정보데이터기획담당관) 2) 원천데이터 : 10대 수출입 품목 3) 시간적 범위 : 1996년 ~ 연단위 제공 4) 내용적 범위 : 연도별 및 순위별 수출품목 내역 제공   · 통계 구분 → 연도별, 순위별   · 통계 단위 → 백만불 5) 자료제공처 : e-나라지표 6) 기타   · 반입되거나 반출되는 물품 중 상위 10대 품목에 대한 실적"
농림·수산·식품,10차개정사업체부문쌀소비량,통계청,,,tw_imki400,"1) 출처 : 통계청,  「양곡소비량조사」 2) 원천데이터 : 사업체부문 쌀 소비량(10차 개정) 3) 시간적 범위 : 2019년 ~ 연단위 제공  4) 내용적 범위 : 연도별 및 식품제조업 구분별 쌀 소비수량 내역 제공   · 통계 구분 → 연도별, 식품제조업 구분별   · 통계 단위 → 톤 5) 자료제공처 : KOSIS 6) 기타   · 계 = 식료품제조업 총계 + 음료제조업 총계"
공공질서·안전,112신고접수현황,e-나라지표,,,tw_imid417,"1) 출처 : 경찰청 치안상황관리관,  「경찰백서」 2) 원천데이터 : 112신고접수 현황 3) 시간적 범위 : 1996년 ~ 연단위 제공  4) 내용적 범위 : 연도별 112접수건수 및 현장 평균도착 시간 내역 제공   · 통계 구분 → 연도별   · 통계 단위 → 천건, % 5) 자료제공처 : e-나라지표 6) 기타   · 112신고 접수건수 : '긴급번호 112'로 접수되는 각종 신고 중 유의미한 신고로서 신고센터에 정식으로 접수된 건수   · CTI : 컴퓨터와 전화를 통합하여 정보처리와 통신을 연결하는 기술"
산업·중소기업·에너지,1개월이내인터넷이용률내역,통계청,,,tw_imki334,"1) 출처 : 과학기술정보통신부, 「인터넷이용실태조사」 2) 원천데이터 : 최근 1개월 이내 인터넷 이용 여부(인터넷 이용률) 3) 시간적 범위 : 2008년 ~ 연단위 제공 4) 내용적 범위 : 연도별 및 성연령별 최근 1개월 이내 인터넷 이용 여부 내역 제공   · 통계 구분 → 연도별, 성연령별   · 통계 단위 → - 5) 자료제공처 : KOSIS 6) 기타   · 만 3세 이상을 대상으로 조사"
공공질서·안전,1심 2심무죄현황내역,e-나라지표,,,tw_imid504,"1) 출처 : 검찰청 공판송무부 공판1과 2) 원천데이터 : 1심, 2심 무죄 현황 3) 시간적 범위 : 2000년 ~ 연단위 제공  4) 내용적 범위 : 연도별 1심, 2심 무죄 현황 내역 제공   · 통계 구분 → 연도별   · 통계 단위 → 명, % 5) 자료제공처 : e-나라지표 6) 기타   · 1심 무죄율 : (1심 무죄선고 인원/1심 전체선고 인원) * 100   · 2심 무죄율 : (2심 무죄선고 인원/2심 전체선고 인원) * 100"
일반·지방행정,1인당개인소득내역,통계청,,,tw_imka179,"1) 출처 : 통계청,  「지역소득」 2) 원천데이터 : 1인당 개인소득(시도) 3) 시간적 범위 : 2000년 ~ 연단위 제공  4) 내용적 범위 : 연도별, 시도별 개인소득 내역 제공   · 통계 구분 → 연도별, 시도별   · 통계 단위 → 천원 5) 자료제공처 : KOSIS 6) 기타   · 1인당 개인소득 : 가계 및 가계에 봉사하는 비영리단체의 총처분가능소득을 지역 인구수로 나눈 1인당 연간소득"
SOC,1인당도시지역면적현황,통계청,,,tw_imka058,"1) 출처 : 한국국토정보공사, 「도시계획현황」 2) 원천데이터 : 1인당 도시지역면적 현황(시도/시/군/구) 3) 시간적 범위 : 2019년 ~ 연단위 제공 4) 내용적 범위 : 연도별 및 시군구별 도시지역 인구 및 면적 내역 제공   · 통계 구분 → 연도별, 시군구별 및 도시지역 구분별   · 통계 단위 → 명, ㎡ 5) 자료제공처 : KOSIS"
일반·지방행정,1인당민간소비지출액내역,통계청,,,tw_imka176,"1) 출처 : 통계청,  「지역소득」 2) 원천데이터 : 1인당 민간소비지출액(시도) 3) 시간적 범위 : 1995년 ~ 연단위 제공  4) 내용적 범위 : 연도별, 시도별 1인당 민간소비지출액 내역 제공   · 통계 구분 → 연도별, 시도별   · 통계 단위 → 천원 5) 자료제공처 : KOSIS 6) 기타   · 1인당 민간소비 지출액 : 국내총생산에 대한 민간부문의 연간 소비지출을 국민1인당 평균 수치로 나타낸 것   · 국민의 소비생활 수준을 나타내는 대표적인 지표"
문화·체육·관광,1인당여행일수현황,e-나라지표,,,tw_imid808,"1) 출처 : 문화체육관광부, 「국민여행조사」 2) 원천데이터 :  1인당 여행일수 3) 시간적 범위 : 2018년 ~ 연단위 제공 4) 내용적 범위 : 연도별 및 성연령별 1인당 여행일수 내역 제공   · 통계 구분 → 연도별   · 통계 단위 → 일/연 5) 자료제공처 : e-나라지표 6) 기타   · 만 15세 이상 인구의 1인당 연간 국내관광여행(당일여행 포함)일수 내역 제공');"
