OFFC_NM,PGM_NM,grp,total_eok,chooyeon_pct,direct_pct
개인정보보호위원회,개인정보보호 기반 데이터 활용 선도,AI,2.7,100.0,0.0
개인정보보호위원회,개인정보보호 기반 데이터 활용 선도,비-AI,37.1,85.2,0.0
경찰청,과학치안활성화,AI,3.5,100.0,0.0
경찰청,과학치안활성화,비-AI,64.7,100.0,0.0
고용노동부,고용창출,AI,11.1,100.0,0.0
고용노동부,고용창출,비-AI,1992.8,11.2,0.6
과학기술정보통신부,SW산업진흥,AI,250.1,100.0,0.0
과학기술정보통신부,SW산업진흥,비-AI,77.1,100.0,0.0
과학기술정보통신부,과학기술정보통신부운영지원,AI,0.4,0.0,0.0
과학기술정보통신부,과학기술정보통신부운영지원,비-AI,219.0,2.5,2.2
과학기술정보통신부,국가사회정보화,AI,14.6,100.0,0.0
과학기술정보통신부,국가사회정보화,비-AI,150.6,69.9,0.0
과학기술정보통신부,미래유망원천기술개발,AI,74.9,100.0,0.0
과학기술정보통신부,미래유망원천기술개발,비-AI,1673.0,99.8,0.0
과학기술정보통신부,인공지능데이터진흥,AI,2661.3,99.3,0.0
과학기술정보통신부,인공지능데이터진흥,비-AI,139.3,85.6,0.0
과학기술정보통신부,인터넷융합산업,AI,39.0,100.0,0.0
과학기술정보통신부,인터넷융합산업,비-AI,215.6,58.9,0.0
과학기술정보통신부,전파활용방송서비스산업,AI,7.6,98.3,0.0
과학기술정보통신부,전파활용방송서비스산업,비-AI,80.4,74.2,2.3
과학기술정보통신부,정보보호및활용,AI,18.6,100.0,0.0
과학기술정보통신부,정보보호및활용,비-AI,156.5,99.4,0.0
과학기술정보통신부,정보통신방송기반조성,AI,2.8,100.0,0.0
과학기술정보통신부,정보통신방송기반조성,비-AI,1.9,100.0,0.0
과학기술정보통신부,정보통신융합산업,AI,64.6,100.0,0.0
과학기술정보통신부,정보통신융합산업,비-AI,393.9,100.0,0.0
과학기술정보통신부,지역경제활성화,AI,146.7,100.0,0.0
과학기술정보통신부,지역경제활성화,비-AI,69.3,97.0,0.0
과학기술정보통신부,통신정책지원,AI,10.8,100.0,0.0
과학기술정보통신부,통신정책지원,비-AI,28.9,17.3,0.0
교육부,국립대학 운영지원,AI,0.2,0.0,0.0
교육부,국립대학 운영지원,비-AI,5239.9,35.1,18.6
교육부,대학교육 역량강화,AI,8.8,28.1,0.0
교육부,대학교육 역량강화,비-AI,307.1,87.4,0.0
국가유산청,유산정책,AI,4.4,96.2,0.0
국가유산청,유산정책,비-AI,254.4,3.6,0.4
국방부,군수지원및협력,AI,35.0,100.0,0.0
국방부,군수지원및협력,비-AI,7072.7,0.2,14.5
국방부,군인사및교육훈련,AI,40.6,100.0,0.0
국방부,군인사및교육훈련,비-AI,991.4,0.0,33.0
국토교통부,국토교통연구개발,AI,25.3,100.0,0.0
국토교통부,국토교통연구개발,비-AI,511.2,99.4,0.0
국토교통부,국토교통행정지원,AI,31.5,100.0,0.0
국토교통부,국토교통행정지원,비-AI,399.5,0.2,1.6
국토교통부,도로관리,AI,28.5,0.0,0.0
국토교통부,도로관리,비-AI,2613.6,0.0,87.4
국토교통부,도시정책,AI,4.0,0.0,0.0
국토교통부,도시정책,비-AI,730.9,0.0,0.1
국토교통부,자동차및교통정책,AI,61.8,91.5,0.0
국토교통부,자동차및교통정책,비-AI,133.0,87.8,0.0
기후에너지환경부,대기환경 보전,AI,16.3,100.0,0.0
기후에너지환경부,대기환경 보전,비-AI,3634.3,0.2,0.3
기후에너지환경부,에너지기술개발,AI,4.0,100.0,0.0
기후에너지환경부,에너지기술개발,비-AI,214.1,100.0,0.0
기후에너지환경부,자연생태 보전,AI,3.2,0.0,0.0
기후에너지환경부,자연생태 보전,비-AI,890.8,47.2,0.8
기후에너지환경부,재생에너지및에너지신산업활성화,AI,4.0,100.0,0.0
기후에너지환경부,재생에너지및에너지신산업활성화,비-AI,99.7,37.9,0.0
기후에너지환경부,화학물질 안전관리,AI,7.0,100.0,0.0
기후에너지환경부,화학물질 안전관리,비-AI,154.7,15.8,3.2
기후에너지환경부,환경보건관리,AI,6.7,100.0,0.0
기후에너지환경부,환경보건관리,비-AI,127.6,15.4,0.0
기후에너지환경부,환경연구 및 교육,AI,30.5,100.0,0.0
기후에너지환경부,환경연구 및 교육,비-AI,75.7,12.5,4.4
농림축산식품부,농가경영안정,AI,10.1,0.0,0.0
농림축산식품부,농가경영안정,비-AI,2127.7,0.0,0.0
농림축산식품부,농업신산업육성,AI,54.0,26.0,0.0
농림축산식품부,농업신산업육성,비-AI,491.3,31.6,1.0
농촌진흥청,농업기초기반 및 실용화 기술개발,AI,13.8,74.3,0.0
농촌진흥청,농업기초기반 및 실용화 기술개발,비-AI,476.6,41.4,9.3
대통령경호처,대통령 및 국가요인 경호,AI,1.8,100.0,0.0
대통령경호처,대통령 및 국가요인 경호,비-AI,41.6,3.6,39.0
문화체육관광부,건강한 저작권 생태계 조성,AI,2.0,0.0,0.0
문화체육관광부,건강한 저작권 생태계 조성,비-AI,84.1,24.2,0.0
문화체육관광부,콘텐츠산업 육성,AI,8.2,100.0,0.0
문화체육관광부,콘텐츠산업 육성,비-AI,1096.3,13.3,0.0
방위사업청,방위사업정책지원,AI,0.6,99.0,0.0
방위사업청,방위사업정책지원,비-AI,4273.3,94.9,0.0
보건복지부,보건산업육성,AI,60.6,78.6,0.0
보건복지부,보건산업육성,비-AI,1405.9,67.4,0.3
보건복지부,사회복지기반조성,AI,25.7,0.0,0.0
보건복지부,사회복지기반조성,비-AI,783.9,0.0,0.1
산림청,산림자원 및 산업육성,AI,21.8,100.0,0.0
산림청,산림자원 및 산업육성,비-AI,1024.9,3.1,28.1
산업통상부,산업경쟁력기반구축,AI,213.3,100.0,0.0
산업통상부,산업경쟁력기반구축,비-AI,1511.7,98.2,0.0
산업통상부,신산업진흥,AI,76.5,100.0,0.0
산업통상부,신산업진흥,비-AI,456.3,94.3,0.0
산업통상부,주력산업진흥,AI,232.5,100.0,0.0
산업통상부,주력산업진흥,비-AI,1416.1,88.0,0.0
산업통상부,지역경제활성화,AI,7.7,100.0,0.0
산업통상부,지역경제활성화,비-AI,891.4,59.1,0.0
식품의약품안전처,과학적 안전관리 연구 및 허가심사 안전성 제고,AI,5.9,100.0,0.0
식품의약품안전처,과학적 안전관리 연구 및 허가심사 안전성 제고,비-AI,175.0,37.7,1.5
식품의약품안전처,식의약품행정지원,AI,15.0,0.0,0.0
식품의약품안전처,식의약품행정지원,비-AI,308.5,0.0,2.9
우주항공청,우주항공진흥,AI,1.0,100.0,0.0
우주항공청,우주항공진흥,비-AI,453.6,74.2,2.0
우주항공청,항공혁신임무수행,AI,3.0,100.0,0.0
우주항공청,항공혁신임무수행,비-AI,48.1,100.0,0.0
인사혁신처,인재개발,AI,1.9,0.0,0.0
인사혁신처,인재개발,비-AI,59.5,0.0,0.0
중소벤처기업부,중소기업기술개발지원,AI,3.6,100.0,0.0
중소벤처기업부,중소기업기술개발지원,비-AI,2531.7,98.1,0.0
질병관리청,보건의료연구관리,AI,4.6,0.0,0.0
질병관리청,보건의료연구관리,비-AI,220.6,22.4,11.3
통일부,북한정세분석,AI,2.8,0.0,0.0
통일부,북한정세분석,비-AI,23.6,0.0,64.6
해양경찰청,해양경찰행정지원,AI,10.1,100.0,0.0
해양경찰청,해양경찰행정지원,비-AI,1384.2,4.7,2.0
해양수산부,어업인소득안정지원,AI,5.0,100.0,0.0
해양수산부,어업인소득안정지원,비-AI,568.1,5.0,0.5
해양수산부,해양산업육성및영토관리,AI,34.7,100.0,0.0
해양수산부,해양산업육성및영토관리,비-AI,483.7,59.0,2.9
해양수산부,해양수산연구개발,AI,8.3,100.0,0.0
해양수산부,해양수산연구개발,비-AI,177.7,99.6,0.0
해양수산부,해양수산정보화,AI,1.5,0.0,0.0
해양수산부,해양수산정보화,비-AI,38.5,0.0,7.0
행정안전부,재난안전정보화,AI,12.4,0.0,0.0
행정안전부,재난안전정보화,비-AI,155.0,1.3,2.2
행정안전부,전자정부,AI,42.7,96.9,0.0
행정안전부,전자정부,비-AI,1149.4,35.1,20.6
