OFFC_NM,SACTV_NM,total_eok,direct_pct,chooyeon_pct,yongyeok_pct,operating_pct
과학기술정보통신부,AI컴퓨팅 자원 활용 기반 강화,2108.7,0.0,100.0,0.0,0.0
산업통상부,K-온디바이스AI반도체기술개발(R&D),166.6,0.0,100.0,0.0,0.0
산업통상부,AI응용제품 신속 상용화 지원사업(제조),130.0,0.0,100.0,0.0,0.0
과학기술정보통신부,AI·SW 중심대학,118.0,0.0,100.0,0.0,0.0
과학기술정보통신부,AI 반도체 실증 지원,113.4,0.0,100.0,0.0,0.0
과학기술정보통신부,협업지능 피지컬AI 기반 SW플랫폼 연구개발 생태계 조성(R&D),76.7,0.0,100.0,0.0,0.0
과학기술정보통신부,인간-AI 협업형 LAM 개발·글로벌 실증(R&D),66.7,0.0,100.0,0.0,0.0
국토교통부,AI모빌리티 시범도시 조성,61.8,0.0,91.5,8.4,0.1
과학기술정보통신부,AI반도체를 활용한 K-클라우드 기술개발(R&D),60.8,0.0,100.0,0.0,0.0
산업통상부,지능형로봇보급및확산,56.7,0.0,100.0,0.0,0.0
과학기술정보통신부,사람중심인공지능핵심원천기술개발(R&D),42.9,0.0,100.0,0.0,0.0
국방부,국방AI인재양성,40.6,0.0,100.0,0.0,0.0
과학기술정보통신부,AI응용제품 신속상용화 지원사업(보안·네트워크·생활 등),40.5,0.0,100.0,0.0,0.0
농림축산식품부,AI응용제품 신속 상용화 지원사업(농업),40.0,0.0,0.0,0.0,0.0
국방부,AI응용제품 신속 상용화 지원사업(국방),35.0,0.0,100.0,0.0,0.0
과학기술정보통신부,AI최고급신진연구자지원사업(R&D),34.0,0.0,100.0,0.0,0.0
국토교통부,AI응용제품 신속상용화 지원사업(국토·교통),31.5,0.0,100.0,0.0,0.0
기후에너지환경부,AI응용제품 신속 상용화 지원사업(환경),30.5,0.0,100.0,0.0,0.0
과학기술정보통신부,World Best LLM 데이터 활용 지원,30.0,0.0,100.0,0.0,0.0
산업통상부,차세대지능형반도체기술개발(설계·제조)(R&D),29.6,0.0,100.0,0.0,0.0
