fld,outcome,n,corr_raw,corr_resid_CPI,delta,p_raw,p_resid,sign_change,abs_weaken
사회복지,wealth_gini,8,-0.7621592304825512,-0.855588569651949,-0.09342933916939777,0.02792105108935635,0.006737212075818754,False,False
일반·지방행정,local_tax_per_capita,5,-0.3628039334215594,0.06289769435599016,0.4257016277775496,0.5484076834348788,0.9199690031930156,True,True
국토및지역개발,housing_supply,9,-0.33263899793023755,-0.5080298738902171,-0.1753908759599796,0.38176757000500555,0.16260851916439767,False,False
공공질서및안전,crime_occurrence,9,-0.2880781914525913,-0.2297123936558319,0.05836579779675938,0.45221767574558697,0.5521261574591325,False,False
과학기술,rd_total,9,-0.23896198724839263,-0.24524921921208037,-0.006287231963687745,0.5357646088338408,0.5247516367486487,False,False
문화및관광,tourists_sample,5,-0.2149425478685346,0.1303751794564743,0.34531772732500887,0.7284487968432326,0.8344726382679246,True,True
교육,private_edu_hours,10,-0.2038484908123283,-0.21697210379628934,-0.01312361298396103,0.5721537955533801,0.5470934074304492,False,False
교통및물류,traffic_deaths,9,-0.12867638092746936,-0.5572470284337994,-0.42857064750633,0.7414527065800499,0.11906375482525366,False,False
통일·외교,oda_total,9,-0.07650617737263019,-0.07291903305968844,0.0035871443129417424,0.8449011126902627,0.8521072124559669,False,False
국방,defense_op_margin,8,0.0599001660561414,0.18118791882277493,0.12128775276663353,0.887955553945688,0.667634710919851,False,False
통신,ict_value_added,10,0.4807025815197158,0.47628989959874074,-0.004412681920975048,0.15961193729781062,0.16403664110725458,False,False
농림수산,farm_income,9,0.4933236204228813,0.5332928320488073,0.03996921162592598,0.1771699685041741,0.13926260635234738,False,False
환경,ghg_total,8,0.5001642471796938,0.49694153278393943,-0.0032227143957543336,0.2068580584906481,0.2102701224937948,False,False
보건,life_expectancy,9,0.5791500436785478,0.6688769155368592,0.08972687185831141,0.10222637625712795,0.04883825460864287,False,False
산업·중소기업및에너지,industry_production_index,10,0.5942494444112996,0.5456869098702608,-0.04856253454103876,0.07003914335722418,0.10275619254745884,False,False
