field,outcome,n,pearson_r,spearman_rho,kendall_tau,pearson_ci_lo,pearson_ci_hi,spearman_ci_lo,spearman_ci_hi,kendall_ci_lo,kendall_ci_hi,sign_consistent
사회복지,wealth_gini,8,-0.7265,-0.8333,-0.7143,-0.9879,-0.1532,-1.0,-0.2405,-1.0,-0.0434,True
보건,life_expectancy,9,0.5784,0.8,0.6111,0.2867,0.9326,0.2432,1.0,0.1515,1.0,True
과학기술,patent_apps_total,9,0.0435,0.1,0.0556,-0.6695,0.8395,-0.7144,0.7949,-0.5484,0.6253,True
산업·중소기업및에너지,industry_production_index,10,0.6132,0.4545,0.3333,-0.0956,0.922,-0.2918,0.8745,-0.1668,0.75,True
문화및관광,foreign_tourists_total,9,0.1892,0.3667,0.2778,-0.7996,0.9299,-0.4876,0.9474,-0.3333,0.8623,True
교육,private_edu_hours,10,-0.1994,-0.2242,-0.2,-0.8452,0.5808,-0.8077,0.4321,-0.6844,0.286,True
국토및지역개발,housing_supply,9,-0.3733,-0.3,-0.1667,-0.8875,0.2377,-0.8546,0.5753,-0.6974,0.4671,True
일반·지방행정,fiscal_indep_natl,10,0.0989,0.0545,-0.0222,-0.597,0.7158,-0.736,0.6981,-0.5387,0.55,False
농림수산,farm_income,9,0.4916,0.3167,0.1667,-0.0731,0.8646,-0.3974,0.8261,-0.4198,0.6557,True
교통및물류,traffic_deaths,9,-0.2235,-0.3667,-0.2778,-0.8547,0.2436,-0.945,0.4339,-0.8404,0.3333,True
환경,ghg_total,8,0.5825,0.619,0.5714,-0.4033,0.9447,-0.2308,1.0,-0.1435,1.0,True
통신,broadband_per_100,10,0.2841,0.2606,0.2,-0.2802,0.7839,-0.4416,0.7989,-0.3333,0.6923,True
통일·외교,oda_total,9,0.0235,0.0667,0.0556,-0.7433,0.7424,-0.74,0.892,-0.6667,0.75,True
공공질서및안전,crime_occurrence,9,-0.2868,-0.3333,-0.2778,-0.8446,0.4647,-0.9468,0.4872,-0.8621,0.3548,True
국방,defense_op_margin,8,-0.0957,-0.381,-0.2857,-0.849,0.6987,-0.9518,0.589,-0.84,0.3918,True
