label,bw,outcome,beta,se,pval,r2,n,mult
공공질서및안전,1,log_daily,0.7524315242441619,0.05236251546874299,8.022455444448953e-47,0.03290910066576702,3873,2.122153816733693
과학기술,1,log_daily,0.5982134545559292,0.08729567340727068,7.245506927432326e-12,0.03295746656044651,1644,1.8188664084871513
교육,1,log_daily,0.12639175109011325,0.16592298330288463,0.4462095203095182,0.02253432631821939,1093,1.1347266116088406
교통및물류,1,log_daily,0.894627612516654,0.10110504907669855,8.870668958729145e-19,0.03333331415541996,3181,2.4464246019147193
국방,1,log_daily,1.0771476618521116,0.06846917433142514,9.147955529645061e-56,0.051782065320327364,2616,2.936292296578119
국토및지역개발,1,log_daily,0.9325557318417829,0.14525133046035865,1.3601456858369626e-10,0.04256319373996276,1108,2.540994987891987
농림수산,1,log_daily,0.6735486646760553,0.0653734339740312,6.8230457750096385e-25,0.020394088334353744,4910,1.9611845730283164
문화및관광,1,log_daily,0.6277194646805712,0.07531361275679807,7.766794513942165e-17,0.030571729832540195,3147,1.8733335008900462
보건,1,log_daily,0.7303980718139689,0.0938169422413255,6.951848468784205e-15,0.02470903072335673,3243,2.0759068032074186
사회복지,1,log_daily,0.3022338386749088,0.06620019742455917,4.984187004598711e-06,0.006154744572695936,6789,1.3528775448167312
산업·중소기업및에너지,1,log_daily,0.5515922639056451,0.10131938284905215,5.2069662900724546e-08,0.015168560253400853,3453,1.736015012415668
외교·통일,1,log_daily,0.7965084609611988,0.15757898439355061,4.31154276368764e-07,0.03964287290166202,187,2.217783915295764
일반·지방행정,1,log_daily,0.7512145833246151,0.06789155399957988,1.856293669910035e-28,0.025331330854457046,8534,2.119572851676055
통신,1,log_daily,0.815269891953617,0.1451760956503399,1.9573303771857235e-08,0.037634399751990566,1456,2.2597854879739394
통일·외교,1,log_daily,0.8346151445326963,0.09223080074227129,1.4401696965696903e-19,0.04004948865655611,1882,2.30392719866482
환경,1,log_daily,0.3190216013086826,0.11374720139802229,0.005037053916004535,0.021305254186132272,1986,1.3757810432560558
인건비형,1,log_daily,0.11499656264103193,0.017451098648276667,4.4087645969889654e-11,0.004261325219574119,2904,1.1218695812968444
자산취득형,1,log_daily,1.2283414017580627,0.08994643839234712,1.8498989710678853e-42,0.03925989184129941,1979,3.4155597942074083
출연금형,1,log_daily,0.09247012556856582,0.08455700421788243,0.27413778794512655,0.007943921474153681,2338,1.0968803723933498
정상사업,1,log_daily,0.8059084249317785,0.03180204150890462,1.1177338966813459e-141,0.03663030108338183,23146,2.238729292864938
