group,cutoff,cutoff_month,pre_month,beta,se,pval,r2,n_obs,n_clusters,mult
전체,3월/2월,3,2,0.1630912121194182,0.02290481287542125,1.0762170209409946e-12,0.007597365142857471,51178,1605,1.1771440545959824
전체,6월/5월,6,5,0.3269900592540555,0.019952920070185454,2.3267680488875388e-60,0.008870357110994265,50244,1578,1.3867876914076627
전체,9월/8월,9,8,0.21662817688523647,0.01926157640059576,2.405603753170033e-29,0.003119661886092917,48432,1561,1.2418822557520008
전체,12월/11월,12,11,0.6476728010136592,0.027265820744221958,9.985557590325933e-125,0.018055960822917827,49122,1564,1.9110881674626254
C0 인건비형,3월/2월,3,2,0.11396949817890878,0.030105363446153634,0.00015328420366416068,0.003763029665174833,2886,62,1.120717940424699
C0 인건비형,6월/5월,6,5,0.0735590267628897,0.01366547536055989,7.3320918433419e-08,0.005436071252070462,2883,61,1.0763320671945937
C0 인건비형,9월/8월,9,8,0.24582086318626775,0.019612481027413555,4.870767148851301e-36,0.008170863353498037,2890,61,1.2786704960657675
C0 인건비형,12월/11월,12,11,0.11499656264104544,0.01745109864827598,4.4087645969582764e-11,0.004261325219573897,2904,61,1.1218695812968595
C1 자산취득형,3월/2월,3,2,0.42536431251616724,0.11818463728008866,0.00031925822505522245,0.008550211046430278,1870,103,1.53014777011658
C1 자산취득형,6월/5월,6,5,0.915181602366761,0.10198167315615446,2.8598650881626557e-19,0.023108789954721987,1945,103,2.497228713373496
C1 자산취득형,9월/8월,9,8,0.5896134148351015,0.08877371235912258,3.099659496543466e-11,0.010836105738522783,1898,102,1.8032911550227577
C1 자산취득형,12월/11월,12,11,1.2283414017580623,0.08994643839234778,1.849898971070581e-42,0.039259891841298855,1979,102,3.415559794207407
C2 출연금형,3월/2월,3,2,-0.1067786259483105,0.07830008774718819,0.17265880206814754,0.018861806824312155,2873,173,0.8987246052774932
C2 출연금형,6월/5월,6,5,0.0590355844938554,0.07357815959666071,0.42234936284730473,0.012146117031848758,2722,172,1.0608129885618096
C2 출연금형,9월/8월,9,8,0.06592928499439316,0.07143408670993702,0.3560391377513754,0.0031004494566749807,2559,168,1.0681511801785302
C2 출연금형,12월/11월,12,11,0.09247012556856851,0.08455700421788352,0.2741377879451188,0.007943921474153903,2338,167,1.0968803723933527
C3 정상사업,3월/2월,3,2,0.2426570141183288,0.027743785587599216,2.2035396866527272e-18,0.014083836928637905,22868,600,1.274631368572751
C3 정상사업,6월/5월,6,5,0.36140348571639946,0.024229385413626486,2.596875756193071e-50,0.014325437094120375,23157,601,1.435342484247406
C3 정상사업,9월/8월,9,8,0.19973823975185406,0.02014228027579447,3.533860143729998e-23,0.004930515758438392,22756,599,1.2210830853117551
C3 정상사업,12월/11월,12,11,0.8059084249317883,0.03180204150890648,1.1177338967146904e-141,0.03663030108338161,23146,601,2.2387292928649596
