fld_nm,fld_short,outcome,n,a,se_a,b,se_b,c,se_c,c_prime,se_c_prime,ab,ab_boot,ab_lo95,ab_hi95,sobel_z,sobel_p,mediation_ratio,sig_ab
사회복지,사회복지,wealth_gini,6,132.67679143171202,88.25393209628075,0.020658515992363125,0.08795281662433775,4.79325652196992,13.56755117223613,2.0523509043624126,19.421080713467266,2.7409056176074493,-1.2029129108228525,-147.648519059812,165.8531259891143,0.2320664479263176,0.8164864042114878,0.5718253561111307,0.0
보건,보건,life_expectancy,5,5.32124052592114,11.927200019944802,0.5401201296504645,0.7458323205254681,27.082273431705318,14.133915485599939,24.2081643089434,15.910718749964717,2.874109122761832,54.353098658642935,-6.153170537708412,896.3077942166884,0.37984657624112966,0.7040593061177569,0.10612510541294151,0.0
과학기술,과학기술,patent_apps_total,5,9.372423043943897,32.983873632893996,103158.02776780166,51161.70908526878,-10482913.809838917,4156049.181417253,-11449754.486457108,2961927.1930202367,966840.6766187487,-2042286.7286392618,-14946963.528670644,2866403.4590580384,0.28137136338347213,0.7784255799456082,-0.09223014651816597,0.0
산업·중소기업및에너지,산업에너지,industry_production_index,6,-2.6693523415404767,3.739337240908613,17.218371030764516,12.460209406528293,28.199326166809445,103.23840536283953,74.16122519529324,98.94380277171635,-45.96189902848397,-62.353028315320586,-539.1983497852733,197.22029041753353,-0.6342293919258214,0.5259311286042788,-1.6298935214480776,0.0
문화및관광,문화관광,foreign_tourists_total,5,10.932480317367162,11.982633686466325,23778.152713206306,46605.125322429136,34403.03418566813,839595.0159340659,-225551.1523348085,1093254.9755902733,259954.1865204785,3013764.0628258274,-3759287.4042051127,9170661.513287773,0.44530578534768966,0.6560987875441524,7.556141272817504,0.0
교육,교육,imd_edu_rank,6,-1.5284272878363432,5.441498078275814,-29.22761004624475,19.395814162168655,102.74860214785046,242.30533366392322,58.07632539493035,213.15611078245877,44.67227675292012,-288.87700685685553,-1045.2649280395349,547.3465031290154,0.2761275929871794,0.782450068098238,0.4347725985472658,0.0
국토및지역개발,국토개발,housing_supply,5,-1.2457027522581807,48.726897266682755,105.67509771024379,55.85410172782342,14083.613297016958,6428.7358082827495,14215.253057079775,4714.457867999769,-131.63976006280285,-6219.476935179449,-52570.953611428326,201576.43051725076,-0.02556265875154837,0.9796061703296288,-0.009347016087887431,0.0
일반·지방행정,일반행정,fiscal_indep_natl,6,-4.342923126111006,4.014095376539728,6.963799978885948,9.195088724282808,-26.563451004418816,69.77410923929006,3.6797969694963015,83.92896404527058,-30.243247973915118,-18.70048758444133,-380.1924249782646,168.83670056625846,-0.620437344916109,0.5349698921173871,1.138528573297354,0.0
농림수산,농림수산,farm_income,5,-14.295421021020443,2.445997290865572,97510.54362309724,29233.32823822967,-172995.35793191267,259061.95851912213,1220958.9171489014,435868.6009251812,-1393954.2750807554,-481418.1832132756,-4136536.021701513,20180164.750487473,-2.8969761744731968,0.003767783685489077,8.057755374160886,0.0
교통및물류,교통물류,traffic_deaths,5,14.916108473029318,6.085089449226321,-904.8902233799813,486.75831570564,-15881.236792328755,6918.545021019576,-2383.796064209224,8890.17435676571,-13497.44072811953,118603.73970251533,-25294.91138996619,1744107.8834581166,-1.481222568489566,0.13854727414838564,0.8498985881653318,0.0
환경,환경,ghg_total,4,,,,,,,,,,,,,,,,
통신,ICT통신,broadband_per_100,6,3.371854508967864,1.2305125789476687,0.8830041345787549,14.213822451630103,108.32251968977278,30.31354544878949,105.34515821715601,59.334916423418406,2.9773614726166415,-266.47771490847373,-261.792128438624,247.38555574208692,0.0621069600380262,0.9504776543919439,0.027486080282692574,0.0
통일·외교,통일외교,oda_total,5,11.771399172401505,7.46873909469213,-70.6907190083075,3480.036376066811,-75292.83346627468,36761.30038723501,-74460.70479504394,60867.02302656115,-832.1286712308582,-133980.64625596805,-2539843.575862993,155232.23185978094,-0.020311525767391994,0.9837948614516474,0.01105189741070891,0.0
공공질서및안전,공공질서,crime_occurrence,5,-3.1123064774224343,12.617700199492363,-716273.0142686479,880789.135982265,-17486207.00139362,18130129.40796264,-19715468.14330484,19443418.21338106,2229261.1419112044,27424955.19064019,-356024488.5293727,249549861.20928574,0.23604276782787575,0.8133994837220434,-0.12748683243504644,0.0
POOLED (FE),POOLED,standardized,70,0.12803594299402754,0.1325307779146866,0.1385353734319501,0.13465868526927038,-0.01260310308440358,0.133620007710608,-0.030340610259793007,0.13465868526927036,0.01773750717538948,,,,0.7042496574155301,0.4812773114424931,-1.4073920570672596,
