fld,outcome,corr_np,pval_np,n_np,corr_fft,pval_fft,corr_stl,pval_stl
사회복지,wealth_gini,-0.2404,0.5529,8,0.0309,0.9242,0.0034,0.994
보건,life_expectancy,-0.7101,0.0299,9,-0.5498,0.1038,0.1956,0.5868
과학기술,patent_apps_total,-0.034,0.9521,9,-0.341,0.3792,-0.0158,0.976
산업·중소기업및에너지,industry_production_index,-0.0731,0.8363,10,-0.4976,0.1377,0.4672,0.1617
문화및관광,foreign_tourists_total,0.0762,0.8204,9,-0.5048,0.1577,0.3236,0.3812
교육,private_edu_hours,-0.3663,0.3134,10,-0.5092,0.1218,-0.3329,0.3473
국토및지역개발,housing_supply,0.0342,0.9261,9,0.2741,0.4511,0.3192,0.3593
일반·지방행정,fiscal_indep_natl,-0.168,0.6287,10,0.0298,0.9381,0.2993,0.4371
농림수산,farm_income,0.2562,0.6228,9,-0.3072,0.3972,0.664,0.0619
교통및물류,traffic_deaths,0.008,0.984,9,-0.3496,0.3653,0.1834,0.6647
환경,ghg_total,-0.1619,0.7345,8,-0.2126,0.5988,0.5014,0.1836
통신,broadband_per_100,-0.7467,0.0619,9,-0.1479,0.7305,0.0519,0.8922
통일·외교,oda_total,-0.1244,0.7784,8,0.3951,0.3693,-0.0285,0.9102
공공질서및안전,crime_occurrence,-0.5048,0.1697,9,-0.0111,0.976,0.0707,0.9022
국방,defense_op_margin,0.3986,0.3134,8,-0.2997,0.495,0.0898,0.8503
