year,power_12m,archetype
2015,0.006824946977896963,C0_personnel
2016,0.006155178193087107,C0_personnel
2017,0.007354017457762791,C0_personnel
2018,0.007497687504620205,C0_personnel
2019,0.007760111031709665,C0_personnel
2020,0.009918124599619183,C0_personnel
2021,0.009811840151671776,C0_personnel
2022,0.008292760592199256,C0_personnel
2023,0.008149125907898042,C0_personnel
2024,0.007920360986754893,C0_personnel
2025,0.00410192297572199,C0_personnel
2015,0.0046753434103487595,C1_direct_invest
2016,0.058055728523517695,C1_direct_invest
2017,0.10140825377742795,C1_direct_invest
2018,0.10411583148035301,C1_direct_invest
2019,0.1454090114660424,C1_direct_invest
2020,0.2050262813133605,C1_direct_invest
2021,0.21841874679164286,C1_direct_invest
2022,0.17902091559007519,C1_direct_invest
2023,0.14792045185949879,C1_direct_invest
2024,0.15797247187665625,C1_direct_invest
2025,0.14507737348394492,C1_direct_invest
2015,0.2126744708706708,C2_chooyeon
2016,0.21848603965163646,C2_chooyeon
2017,0.17239565134260812,C2_chooyeon
2018,0.4559466869613642,C2_chooyeon
2019,0.8244654076798986,C2_chooyeon
2020,1.0051724849457346,C2_chooyeon
2021,1.316605164094457,C2_chooyeon
2022,1.5550698797216054,C2_chooyeon
2023,1.5931517421470132,C2_chooyeon
2024,1.475566898074472,C2_chooyeon
2025,0.8758300692285462,C2_chooyeon
2015,0.01645117320224709,C3_normal
2016,0.06108151976167772,C3_normal
2017,0.09327849316529918,C3_normal
2018,0.10481127737727335,C3_normal
2019,0.12458300558842021,C3_normal
2020,0.15261918427730078,C3_normal
2021,0.184031396984099,C3_normal
2022,0.20702175328457098,C3_normal
2023,0.2460655520841755,C3_normal
2024,0.2802714911740402,C3_normal
2025,0.1854833105092568,C3_normal
