FLD_NM,OFFC_NM,PGM_NM,ACTV_NM,subcluster,v1,v2
공공질서및안전,경찰청,경찰병원운영,경찰병원기본경비,7,8.379435,0.73231965
공공질서및안전,경찰청,경찰병원운영,자산취득,1,7.8740945,6.60058
공공질서및안전,경찰청,경찰병원운영,장례식장운영,9,10.090797,1.4744842
공공질서및안전,경찰청,경찰병원운영,진료업무지원,7,9.061774,1.3602585
공공질서및안전,경찰청,경찰행정지원,감사·인권보호활동,-1,6.9363356,1.6174159
공공질서및안전,경찰청,경찰행정지원,경찰복지증진,14,7.45402,2.9054174
공공질서및안전,경찰청,경찰행정지원,대국민치안정책제공,13,6.098613,1.7704111
공공질서및안전,경찰청,경찰행정지원,본부기본경비,8,6.5317063,0.25076935
공공질서및안전,경찰청,경찰행정지원,소속기관기본경비,7,8.209434,0.97361434
공공질서및안전,경찰청,경찰행정지원,치안행정업무지원,-1,8.676743,1.6613548
공공질서및안전,경찰청,경찰행정지원,행정효율성증진및능력개발,4,5.535945,3.4202816
공공질서및안전,경찰청,공공안녕위험예방및대응강화,공공안녕정보활동,12,0.6998547,3.334715
공공질서및안전,경찰청,교통안전·소통확보,교통사고예방,0,1.8935483,-1.7989191
공공질서및안전,경찰청,교통안전·소통확보,교통행정전산화(정보화),-1,7.1922884,4.1509566
공공질서및안전,경찰청,국가안보확보,국제교류협력활동,-1,1.4932872,1.206554
공공질서및안전,경찰청,국가안보확보,대테러상황관리,-1,7.572873,5.02722
공공질서및안전,경찰청,국가안보확보,외사경찰활동,12,0.68474805,3.387951
공공질서및안전,경찰청,범죄수사활동,수사업무정보화(정보화),-1,7.342527,4.7048965
공공질서및안전,경찰청,범죄수사활동,수사지원 및 수사역량강화,7,8.256857,1.6020963
공공질서및안전,경찰청,범죄예방및사회적약자보호,범죄예방및대응역량강화,-1,7.5463185,1.6472954
공공질서및안전,경찰청,범죄예방및사회적약자보호,사회적약자보호,-1,7.0054317,1.9526451
공공질서및안전,경찰청,사회질서유지,경비경찰역량강화,7,8.2111845,1.7380192
공공질서및안전,경찰청,전문경찰양성,경찰대학운영,-1,7.106193,3.6661422
공공질서및안전,경찰청,전문경찰양성,경찰인재개발,7,7.549258,0.48596817
공공질서및안전,경찰청,전문경찰양성,수사경찰전문교육,14,6.7925286,2.4970434
공공질서및안전,경찰청,전문경찰양성,신임순경교육,14,7.555599,2.815564
