FLD_NM,OFFC_NM,PGM_NM,ACTV_NM,subcluster,v1,v2
공공질서및안전,소방청,소방정책지원,소방안전기술개발,0,8.837586,11.758104
공공질서및안전,해양경찰청,해양경찰행정지원,연구개발,0,8.744611,12.041521
공공질서및안전,행정안전부,재난안전기술개발,재난안전기술개발,0,8.961403,11.673528
과학기술,과학기술정보통신부,공공연구성과활성화,연구개발특구육성,0,9.940318,11.168104
과학기술,과학기술정보통신부,공공연구성과활성화,연구성과기술사업화지원,0,9.594742,11.851794
과학기술,과학기술정보통신부,과학기술국제협력,국제화기반조성,0,9.283197,9.446089
과학기술,과학기술정보통신부,과학기술국제협력,동북아 R&D 허브 기반 구축,0,9.529453,9.811313
과학기술,과학기술정보통신부,과학기술기반조성,국제과학비즈니스벨트조성,1,8.321429,8.653818
과학기술,과학기술정보통신부,과학기술혁신지원,국가과학기술 지식정보서비스,0,9.644077,9.873675
과학기술,과학기술정보통신부,과학기술혁신지원,기획평가기관지원,-1,9.552038,8.514601
과학기술,과학기술정보통신부,과학문화창달,과학기술문화창달사업,1,8.275443,8.636449
과학기술,과학기술정보통신부,기초연구진흥,기초연구기반구축사업,0,9.793612,10.031085
과학기술,과학기술정보통신부,미래유망원천기술개발,나노·소재기술개발,0,9.958336,11.696777
과학기술,과학기술정보통신부,미래유망원천기술개발,바이오·의료기술개발,0,9.561552,11.890271
과학기술,과학기술정보통신부,미래유망원천기술개발,에너지·환경기술개발,0,9.779503,11.415257
과학기술,과학기술정보통신부,미래유망원천기술개발,첨단융합기술개발,0,9.873057,11.708975
과학기술,과학기술정보통신부,우주개발진흥,우주발사체개발,1,8.659471,7.3272367
과학기술,과학기술정보통신부,원자력 진흥,원자력연구개발사업,0,10.102855,9.268448
과학기술,과학기술정보통신부,원자력 진흥,원자력평화적이용체제구축,0,8.6442995,11.194066
과학기술,과학기술정보통신부,출연연구기관지원,국가과학기술연구회 소속 출연연구기관 지원,1,8.974709,6.497597
과학기술,과학기술정보통신부,출연연구기관지원,직할출연연구기관지원,1,8.916518,6.5184345
과학기술,기상청,기상서비스 진흥,기상산업 진흥,1,7.28565,8.422334
과학기술,기상청,기상연구,선진기상·지진 기술개발,1,7.290869,8.559771
과학기술,기상청,책임행정기관 운영,항공기상정보시스템 운영,1,7.94883,8.2482815
과학기술,원자력안전위원회,원자력안전관리,방사선방재환경안전관리,-1,9.414572,8.239151
과학기술,원자력안전위원회,출연연구기관지원,직할출연연구기관지원(R&D),1,8.364006,5.4371457
과학기술,해양수산부,출연연구 기관지원,한국해양과학기술원 운영지원,0,9.919295,10.473954
교육,과학기술정보통신부,공공연구성과활성화,산학연협력 활성화 지원,0,10.001934,11.7598915
교육,과학기술정보통신부,과학기술인력양성,직할출연연구기관지원,1,7.5294886,8.951911
교육,교육부,교육행정지원,행정업무정보화 지원,0,8.536051,11.739348
교육,교육부,국립대학 운영지원,국립대학병원 여건개선,1,8.515015,7.9403787
교육,교육부,맞춤형 국가장학제도 기반 조성,맞춤형 국가장학금 지원,0,10.139508,10.707403
교육,교육부,맞춤형 국가장학제도 기반 조성,한국장학재단 출연,1,9.478499,6.7116637
