fld_a,fld_b,ks_stat,p,n_a,n_b
국방,국토및지역개발,0.592292587137948,4.047436502625971e-10,97,42
공공질서및안전,국토및지역개발,0.5706075533661741,2.1482570808171947e-10,145,42
국방,산업·중소기업및에너지,0.49143881667413714,4.249670909781347e-12,97,115
산업·중소기업및에너지,통일·외교,0.4422360248447205,3.35446707977848e-08,115,70
교통및물류,국방,0.4405561335477159,1.6945937832272569e-09,109,97
공공질서및안전,산업·중소기업및에너지,0.43748125937031485,1.403918524890734e-11,145,115
국토및지역개발,통일·외교,0.4238095238095238,9.91907867883652e-05,42,70
국토및지역개발,보건,0.4026915113871636,5.374082451880087e-05,42,115
국방,환경,0.40251008516360376,4.585172653139532e-05,97,46
공공질서및안전,교통및물류,0.39835495096488455,2.3619474878325207e-09,145,109
문화및관광,산업·중소기업및에너지,0.3704752275025278,1.4239263574331862e-06,86,115
국토및지역개발,문화및관광,0.35658914728682173,0.0009660779015669876,42,86
보건,산업·중소기업및에너지,0.3565217391304348,6.924313200287683e-07,115,115
산업·중소기업및에너지,일반·지방행정,0.3523797272961153,5.328983170538932e-10,115,338
국방,통신,0.35193046290681224,0.000332049531192978,97,51
국토및지역개발,통신,0.35154061624649857,0.0047324710479791435,42,51
사회복지,산업·중소기업및에너지,0.3513303049967553,2.491738480526193e-07,134,115
국방,농림수산,0.34998828491096534,2.4913061087070296e-07,97,176
국토및지역개발,일반·지방행정,0.3395322626091857,0.00023654999535179674,42,338
과학기술,국토및지역개발,0.3354978354978355,0.0032037859138003624,77,42
공공질서및안전,환경,0.3280359820089955,0.0007588776482024358,145,46
통일·외교,환경,0.3198757763975155,0.004879275809858073,70,46
교통및물류,통일·외교,0.3197903014416776,0.0002241229077214152,109,70
국방,사회복지,0.3186644099092168,1.4249961657753007e-05,97,134
교육,국방,0.317208564631245,0.0051495109513544505,39,97
교육,국토및지역개발,0.31684981684981683,0.026099609548117186,39,42
국방,문화및관광,0.31515224166866457,0.00015752361235165765,97,86
국방,일반·지방행정,0.3036966998108949,1.16434162241962e-06,97,338
통신,통일·외교,0.3011204481792717,0.0069172073580444585,51,70
공공질서및안전,사회복지,0.2941327843540916,7.81117507872238e-06,145,134
과학기술,국방,0.29227473557370465,0.0009476955270257242,77,97
국토및지역개발,농림수산,0.29004329004329005,0.005036115252305679,42,176
공공질서및안전,농림수산,0.28295454545454546,4.067922867225425e-06,145,176
국토및지역개발,사회복지,0.27647476901208246,0.011685349736861238,42,134
공공질서및안전,교육,0.2725022104332449,0.016423836051221167,145,39
공공질서및안전,통신,0.2691007437457742,0.006544229957612957,145,51
공공질서및안전,문화및관광,0.2619887730553328,0.0009187412173843948,145,86
교육,통일·외교,0.258974358974359,0.054620095911752035,39,70
과학기술,산업·중소기업및에너지,0.2578204404291361,0.00345376665289718,77,115
사회복지,환경,0.25697598961713175,0.017221314522147004,134,46
산업·중소기업및에너지,통신,0.25302642796248936,0.01748033906693582,115,51
공공질서및안전,일반·지방행정,0.2527851458885942,3.405547420854316e-06,145,338
교통및물류,문화및관광,0.2524002560273096,0.003397382905853388,109,86
농림수산,통일·외교,0.25227272727272726,0.0026506940988567794,176,70
문화및관광,환경,0.2517694641051567,0.03584530196048097,86,46
국토및지역개발,환경,0.2505175983436853,0.10252394119477769,42,46
일반·지방행정,환경,0.24337535374324673,0.013361840207120204,338,46
공공질서및안전,과학기술,0.24281236005373935,0.004203955283568866,145,77
교통및물류,보건,0.24028719585161548,0.0024264077969534535,109,115
사회복지,통신,0.23822066139888792,0.024597159395317616,134,51
교통및물류,일반·지방행정,0.23714782042234406,0.0001456453218248772,109,338
보건,환경,0.23478260869565218,0.046576313503910956,115,46
문화및관광,통신,0.23301413588691292,0.050366879008496075,86,51
농림수산,산업·중소기업및에너지,0.22929841897233202,0.0010544526971855456,176,115
국방,보건,0.22787987449574182,0.006798163530206811,97,115
일반·지방행정,통신,0.2246200255250029,0.018932632994953097,338,51
보건,통신,0.21602728047740835,0.06225276191091521,115,51
교육,산업·중소기업및에너지,0.21583054626532888,0.11135068960803204,39,115
국방,통일·외교,0.211340206185567,0.04411724864819527,97,70
교통및물류,사회복지,0.20888675886621935,0.008645638310036763,109,134
과학기술,통일·외교,0.2012987012987013,0.08687303515532085,77,70
교육,사회복지,0.19900497512437812,0.15608911375653592,39,134
교육,문화및관광,0.19856887298747763,0.20660618675929243,39,86
교통및물류,통신,0.1978773160640403,0.11173568928079569,109,51
공공질서및안전,통일·외교,0.19753694581280787,0.04249273784345336,145,70
공공질서및안전,보건,0.1907046476761619,0.015873565030091116,145,115
농림수산,문화및관광,0.18895348837209303,0.027286866474605723,176,86
교육,보건,0.18461538461538463,0.2377744784324974,39,115
교통및물류,국토및지역개발,0.1837046745303626,0.22443411351534007,109,42
과학기술,교통및물류,0.178601215298463,0.09609582809767586,77,109
교육,일반·지방행정,0.17751479289940827,0.1960462119692164,39,338
농림수산,일반·지방행정,0.1764389456697149,0.0012472993087336913,176,338
교통및물류,산업·중소기업및에너지,0.17311527722377343,0.05965958821944373,109,115
사회복지,통일·외교,0.17142857142857143,0.11596468250925203,134,70
농림수산,보건,0.1693181818181818,0.03189990617947728,176,115
산업·중소기업및에너지,환경,0.16521739130434782,0.3044052833996957,115,46
통신,환경,0.16155157715260018,0.48881092766941975,51,46
과학기술,문화및관광,0.15856236786469344,0.22480832234222659,77,86
교육,교통및물류,0.15855092919313102,0.41395802008598565,39,109
농림수산,환경,0.1583498023715415,0.28443836992370974,176,46
문화및관광,통일·외교,0.15415282392026577,0.2806140729889282,86,70
일반·지방행정,통일·외교,0.15097210481825865,0.12658303545763833,338,70
농림수산,사회복지,0.1422998643147897,0.08117525551802746,176,134
농림수산,통신,0.1412655971479501,0.367763282545929,176,51
