overlap,n_intervals,min_cluster_size,n_nodes,n_edges,n_components,n_loops
0.3,6,15.0,4,0,4,0
0.3,6,30.0,0,0,0,0
0.3,6,50.0,0,0,0,0
0.3,10,15.0,2,0,2,0
0.3,10,30.0,0,0,0,0
0.3,10,50.0,0,0,0,0
0.3,15,15.0,0,0,0,0
0.3,15,30.0,0,0,0,0
0.3,15,50.0,0,0,0,0
0.5,6,15.0,14,14,4,4
0.5,6,30.0,6,4,2,0
0.5,6,50.0,4,3,1,0
0.5,10,15.0,4,0,4,0
0.5,10,30.0,0,0,0,0
0.5,10,50.0,0,0,0,0
0.5,15,15.0,0,0,0,0
0.5,15,30.0,0,0,0,0
0.5,15,50.0,0,0,0,0
0.7,6,15.0,34,194,1,161
0.7,6,30.0,20,76,2,57
0.7,6,50.0,14,35,2,23
0.7,10,15.0,32,98,4,32
0.7,10,30.0,10,9,3,1
0.7,10,50.0,4,1,3,0
0.7,15,15.0,20,18,8,0
0.7,15,30.0,2,0,2,0
0.7,15,50.0,2,0,2,0
