,label,node_type
감사원,3,ministry
경찰청,2,ministry
고용노동부,1,ministry
공정거래위원회,3,ministry
과학기술정보통신부,4,ministry
관세청,2,ministry
교육부,4,ministry
국가인권위원회,2,ministry
국무조정실 및 국무총리비서실,4,ministry
국민권익위원회,3,ministry
국방부,2,ministry
국세청,3,ministry
국토교통부,1,ministry
국회,2,ministry
금융위원회,1,ministry
기상청,3,ministry
기획재정부,3,ministry
농림축산식품부,1,ministry
농촌진흥청,1,ministry
대법원,2,ministry
대통령비서실 및 국가안보실,2,ministry
문화재청,1,ministry
문화체육관광부,1,ministry
민주평화통일자문회의,3,ministry
방송통신위원회,3,ministry
방위사업청,0,ministry
법무부,2,ministry
법제처,3,ministry
병무청,2,ministry
보건복지부,1,ministry
산림청,1,ministry
산업통상자원부,4,ministry
소방청,2,ministry
식품의약품안전처,3,ministry
여성가족부,1,ministry
외교부,3,ministry
원자력안전위원회,4,ministry
인사혁신처,3,ministry
조달청,0,ministry
중소벤처기업부,1,ministry
중앙선거관리위원회,1,ministry
질병관리청,2,ministry
통계청,3,ministry
통일부,2,ministry
특허청,1,ministry
해양경찰청,2,ministry
해양수산부,1,ministry
행정안전부,1,ministry
행정중심복합도시건설청,0,ministry
헌법재판소,2,ministry
환경부,1,ministry
A0_personnel,1,archetype
A1_chooyeon,4,archetype
A2_sub00,1,archetype
A2_sub01,0,archetype
A2_sub02,3,archetype
A2_sub03,3,archetype
A2_sub04,3,archetype
A2_sub05,1,archetype
A2_sub06,1,archetype
A2_sub07,2,archetype
A2_sub08,3,archetype
A2_sub09,1,archetype
A2_sub10,1,archetype
A2_sub11,1,archetype
A2_sub12,1,archetype
A2_sub13,3,archetype
A2_sub14,2,archetype
