,label,node_type
감사원,1,ministry
경찰청,0,ministry
고용노동부,0,ministry
공정거래위원회,0,ministry
과학기술정보통신부,3,ministry
관세청,0,ministry
교육부,3,ministry
국가보훈처,0,ministry
국가인권위원회,0,ministry
국무조정실 및 국무총리비서실,2,ministry
국민권익위원회,0,ministry
국방부,1,ministry
국세청,0,ministry
국토교통부,1,ministry
국회,0,ministry
금융위원회,0,ministry
기상청,0,ministry
기획재정부,0,ministry
농림축산식품부,0,ministry
농촌진흥청,0,ministry
대법원,1,ministry
대통령비서실 및 국가안보실,0,ministry
문화재청,0,ministry
문화체육관광부,0,ministry
민주평화통일자문회의,0,ministry
방송통신위원회,3,ministry
방위사업청,4,ministry
법무부,0,ministry
법제처,0,ministry
병무청,1,ministry
보건복지부,1,ministry
산림청,0,ministry
산업통상자원부,3,ministry
소방청,1,ministry
식품의약품안전처,0,ministry
여성가족부,0,ministry
외교부,0,ministry
원자력안전위원회,0,ministry
인사혁신처,0,ministry
조달청,1,ministry
중소벤처기업부,3,ministry
중앙선거관리위원회,0,ministry
통계청,0,ministry
통일부,0,ministry
특허청,1,ministry
해양경찰청,0,ministry
해양수산부,1,ministry
행정안전부,0,ministry
행정중심복합도시건설청,4,ministry
헌법재판소,0,ministry
환경부,0,ministry
A0_personnel,0,archetype
A1_direct_invest,4,archetype
A2_sub00,3,archetype
A2_sub01,2,archetype
A3_normal,0,archetype
