OFFC_NM,n_actv,exposure_score,exposure_budget,co_cluster,pct_chooyeon,pct_sub05,pct_sub01
국무조정실 및 국무총리비서실,33,0.7757575757575758,0.847243585170322,4,0.7575757575757576,0.0,0.0
과학기술정보통신부,103,0.5601941747572815,0.6967774603494576,4,0.5048543689320388,0.019417475728155338,0.02912621359223301
방위사업청,24,0.525,0.7623403428919624,0,0.2916666666666667,0.0,0.3333333333333333
산업통상자원부,62,0.4225806451612903,0.778302540767538,4,0.3870967741935484,0.016129032258064516,0.016129032258064516
원자력안전위원회,5,0.4,0.7870269654963068,4,0.4,0.0,0.0
행정중심복합도시건설청,11,0.3818181818181818,0.6422932428820778,0,0.0,0.0,0.5454545454545454
교육부,37,0.33783783783783783,0.6526719914137357,4,0.2702702702702703,0.05405405405405406,0.02702702702702703
금융위원회,11,0.30909090909090914,0.0988669412973877,1,0.09090909090909091,0.18181818181818182,0.0
중소벤처기업부,33,0.2909090909090909,0.8054319624320766,1,0.2727272727272727,0.0,0.0
농촌진흥청,29,0.2896551724137931,0.514139051748069,1,0.20689655172413793,0.06896551724137931,0.0
공정거래위원회,14,0.2714285714285714,0.4636331898683207,3,0.14285714285714285,0.0,0.0
외교부,38,0.25526315789473686,0.3039293912214989,3,0.18421052631578946,0.02631578947368421,0.0
국토교통부,98,0.24693877551020404,0.46141214743386194,1,0.09183673469387756,0.061224489795918366,0.14285714285714285
조달청,14,0.24285714285714285,0.19310959824545942,0,0.0,0.0,0.2857142857142857
특허청,19,0.2157894736842105,0.006006758168273652,1,0.0,0.0,0.2631578947368421
기획재정부,28,0.17857142857142858,0.33553833584247655,3,0.07142857142857142,0.0,0.0
고용노동부,43,0.17674418604651163,0.22693364968262675,1,0.09302325581395349,0.046511627906976744,0.0
소방청,14,0.17142857142857143,0.29922703545876794,2,0.07142857142857142,0.0,0.14285714285714285
대법원,17,0.17058823529411765,0.032727779439050524,2,0.0,0.058823529411764705,0.11764705882352941
행정안전부,88,0.1693181818181818,0.24377104298641186,1,0.07954545454545454,0.09090909090909091,0.011363636363636364
보건복지부,126,0.15634920634920635,0.24758426176038895,1,0.023809523809523808,0.05555555555555555,0.1111111111111111
해양수산부,80,0.15499999999999997,0.36395830899799414,1,0.0125,0.0625,0.1125
기상청,26,0.14615384615384613,0.2446170486351829,3,0.07692307692307693,0.07692307692307693,0.0
방송통신위원회,7,0.14285714285714285,0.19344422669305258,3,0.14285714285714285,0.0,0.0
여성가족부,20,0.13,0.11760694227617798,1,0.1,0.0,0.0
환경부,44,0.11590909090909092,0.18178111819277823,1,0.06818181818181818,0.022727272727272728,0.0
국방부,63,0.11428571428571427,0.08107522721355473,2,0.015873015873015872,0.0,0.12698412698412698
해양경찰청,15,0.11333333333333333,0.12122714975966639,2,0.06666666666666667,0.0,0.06666666666666667
질병관리청,29,0.10344827586206895,0.019668294035248876,2,0.0,0.034482758620689655,0.10344827586206896
농림축산식품부,56,0.09642857142857143,0.25329442213808673,1,0.03571428571428571,0.05357142857142857,0.017857142857142856
문화재청,27,0.09259259259259259,0.2110506738169787,1,0.0,0.07407407407407407,0.037037037037037035
통계청,13,0.0923076923076923,0.09230615110809474,3,0.0,0.0,0.0
민주평화통일자문회의,7,0.08571428571428572,0.07820235416306041,3,0.0,0.0,0.0
산림청,51,0.07647058823529411,0.18108355998452713,1,0.0,0.0392156862745098,0.058823529411764705
감사원,8,0.075,0.002098025661135377,3,0.0,0.0,0.0
병무청,10,0.06999999999999999,0.005517688946890604,2,0.0,0.0,0.1
국민권익위원회,9,0.06666666666666667,0.010410508061981766,3,0.0,0.0,0.0
경찰청,34,0.058823529411764705,0.00297866087291495,2,0.0,0.0,0.058823529411764705
법무부,38,0.049999999999999996,0.004077193941658781,2,0.0,0.0,0.02631578947368421
통일부,25,0.04,0.2855271324438773,2,0.04,0.0,0.0
문화체육관광부,56,0.03928571428571429,0.02771753020190484,1,0.017857142857142856,0.0,0.0
식품의약품안전처,27,0.037037037037037035,0.04287206036983091,3,0.037037037037037035,0.0,0.0
관세청,18,0.03333333333333333,0.0005404365519792823,2,0.0,0.0,0.0
국회,29,0.020689655172413793,0.0008922494097696254,2,0.0,0.0,0.0
국가인권위원회,8,0.0,0.0,2,0.0,0.0,0.0
국세청,27,0.0,0.0,3,0.0,0.0,0.0
대통령비서실 및 국가안보실,5,0.0,0.0,2,0.0,0.0,0.0
법제처,6,0.0,0.0,3,0.0,0.0,0.0
인사혁신처,21,0.0,0.0,3,0.0,0.0,0.0
중앙선거관리위원회,8,0.0,0.0,1,0.0,0.0,0.0
헌법재판소,7,0.0,0.0,2,0.0,0.0,0.0
