fld,outcome,lag,n,corr_diff
사회복지,wealth_gini,-2,6,0.23475826498200106
사회복지,wealth_gini,-1,7,0.46832900496455365
사회복지,wealth_gini,0,8,-0.7621592304825512
사회복지,wealth_gini,1,7,-0.15683024351475788
사회복지,wealth_gini,2,6,0.35095234777322803
보건,life_expectancy,-2,7,-0.5548340752705067
보건,life_expectancy,-1,8,0.0772474790143767
보건,life_expectancy,0,9,0.5791500436785478
보건,life_expectancy,1,8,-0.8485791373624343
보건,life_expectancy,2,7,0.29762353959358834
과학기술,rd_total,-2,7,-0.2872653416814273
과학기술,rd_total,-1,8,-0.40784304702148777
과학기술,rd_total,0,9,-0.23896198724839263
과학기술,rd_total,1,8,0.09589578243651202
과학기술,rd_total,2,7,-0.3405089302738623
산업·중소기업및에너지,industry_production_index,-2,8,-0.07365859993573391
산업·중소기업및에너지,industry_production_index,-1,9,-0.1851815865776379
산업·중소기업및에너지,industry_production_index,0,10,0.5942494444112996
산업·중소기업및에너지,industry_production_index,1,9,-0.12377740601714889
산업·중소기업및에너지,industry_production_index,2,8,-0.7016409444071428
문화및관광,tourists_sample,-2,3,0.39688305117306333
문화및관광,tourists_sample,-1,4,0.8043169529748991
문화및관광,tourists_sample,0,5,-0.2149425478685346
문화및관광,tourists_sample,1,4,-0.9460493345605085
문화및관광,tourists_sample,2,3,0.8823814547818534
교육,private_edu_hours,-2,8,-0.37966064114270326
교육,private_edu_hours,-1,9,-0.11453697579400594
교육,private_edu_hours,0,10,-0.2038484908123283
교육,private_edu_hours,1,9,0.2947648571216182
교육,private_edu_hours,2,8,0.4595114354402825
국토및지역개발,housing_supply,-2,7,0.21945494453957948
국토및지역개발,housing_supply,-1,8,-0.09847685572918669
국토및지역개발,housing_supply,0,9,-0.33263899793023755
국토및지역개발,housing_supply,1,8,0.353499499726139
국토및지역개발,housing_supply,2,7,-0.16769650245518775
일반·지방행정,local_tax_per_capita,-2,3,-0.46537866215119017
일반·지방행정,local_tax_per_capita,-1,4,0.2952568095205462
일반·지방행정,local_tax_per_capita,0,5,-0.3628039334215594
일반·지방행정,local_tax_per_capita,1,4,0.0891482278434929
일반·지방행정,local_tax_per_capita,2,3,0.9183653649712202
농림수산,farm_income,-2,7,-0.7164657392740539
농림수산,farm_income,-1,8,-0.13130967022996795
농림수산,farm_income,0,9,0.4933236204228813
농림수산,farm_income,1,8,-0.5931200955549865
농림수산,farm_income,2,7,0.1781496341932099
교통및물류,traffic_deaths,-2,7,0.1953455418431814
교통및물류,traffic_deaths,-1,8,0.061478350001911035
교통및물류,traffic_deaths,0,9,-0.12867638092746936
교통및물류,traffic_deaths,1,8,0.667785711571945
교통및물류,traffic_deaths,2,7,0.579591169836982
환경,ghg_total,-2,6,-0.6800429433450685
환경,ghg_total,-1,7,-0.09051865640170458
환경,ghg_total,0,8,0.5001642471796938
환경,ghg_total,1,7,-0.674446284085492
환경,ghg_total,2,6,-0.27624458978287825
