fld,outcome,lag,n,corr_diff
사회복지,wealth_gini,-2,6,0.23475826498200106
사회복지,wealth_gini,-1,7,0.46832900496455365
사회복지,wealth_gini,0,8,-0.7621592304825512
사회복지,wealth_gini,1,7,-0.15683024351475788
사회복지,wealth_gini,2,6,0.35095234777322803
보건,life_expectancy,-2,7,-0.5548340752705067
보건,life_expectancy,-1,8,0.0772474790143767
보건,life_expectancy,0,9,0.5791500436785478
보건,life_expectancy,1,8,-0.8485791373624343
보건,life_expectancy,2,7,0.29762353959358834
과학기술,patent_apps_total,-2,7,0.7152221670804405
과학기술,patent_apps_total,-1,8,-0.1810412356520387
과학기술,patent_apps_total,0,9,0.11847438879521088
과학기술,patent_apps_total,1,8,0.11462148515711068
과학기술,patent_apps_total,2,7,-0.0233950574775435
산업·중소기업및에너지,industry_production_index,-2,8,-0.07365859993573391
산업·중소기업및에너지,industry_production_index,-1,9,-0.1851815865776379
산업·중소기업및에너지,industry_production_index,0,10,0.5942494444112996
산업·중소기업및에너지,industry_production_index,1,9,-0.12377740601714889
산업·중소기업및에너지,industry_production_index,2,8,-0.7016409444071428
문화및관광,foreign_tourists_total,-2,7,0.22728170594568242
문화및관광,foreign_tourists_total,-1,8,-0.16515510942704448
문화및관광,foreign_tourists_total,0,9,0.05320629627104951
문화및관광,foreign_tourists_total,1,8,-0.7079042295897424
문화및관광,foreign_tourists_total,2,7,0.3497314397903175
교육,private_edu_hours,-2,8,-0.37966064114270326
교육,private_edu_hours,-1,9,-0.11453697579400594
교육,private_edu_hours,0,10,-0.2038484908123283
교육,private_edu_hours,1,9,0.2947648571216182
교육,private_edu_hours,2,8,0.4595114354402825
국토및지역개발,housing_supply,-2,7,0.21945494453957948
국토및지역개발,housing_supply,-1,8,-0.09847685572918669
국토및지역개발,housing_supply,0,9,-0.33263899793023755
국토및지역개발,housing_supply,1,8,0.353499499726139
국토및지역개발,housing_supply,2,7,-0.16769650245518775
일반·지방행정,fiscal_indep_natl,-2,8,-0.4033308988863717
일반·지방행정,fiscal_indep_natl,-1,9,-0.0040446784962458945
일반·지방행정,fiscal_indep_natl,0,10,0.13858335088435247
일반·지방행정,fiscal_indep_natl,1,9,0.005291626730958482
일반·지방행정,fiscal_indep_natl,2,8,0.424854531430258
농림수산,farm_income,-2,7,-0.7164657392740539
농림수산,farm_income,-1,8,-0.13130967022996795
농림수산,farm_income,0,9,0.4933236204228813
농림수산,farm_income,1,8,-0.5931200955549865
농림수산,farm_income,2,7,0.1781496341932099
교통및물류,traffic_deaths,-2,7,0.1953455418431814
교통및물류,traffic_deaths,-1,8,0.061478350001911035
교통및물류,traffic_deaths,0,9,-0.12867638092746936
교통및물류,traffic_deaths,1,8,0.667785711571945
교통및물류,traffic_deaths,2,7,0.579591169836982
환경,ghg_total,-2,6,-0.6800429433450685
환경,ghg_total,-1,7,-0.09051865640170458
환경,ghg_total,0,8,0.5001642471796938
환경,ghg_total,1,7,-0.674446284085492
환경,ghg_total,2,6,-0.27624458978287825
통신,broadband_per_100,-2,8,0.8462721632341971
통신,broadband_per_100,-1,9,0.01058917813816507
통신,broadband_per_100,0,10,0.24673972324609933
통신,broadband_per_100,1,9,-0.2567534580767207
통신,broadband_per_100,2,8,0.09400475795106145
통일·외교,oda_total,-2,7,-0.3629423608807384
통일·외교,oda_total,-1,8,-0.16520210634669436
통일·외교,oda_total,0,9,-0.07650617737263019
통일·외교,oda_total,1,8,-0.6940579032098757
통일·외교,oda_total,2,7,0.48332807997631566
공공질서및안전,crime_occurrence,-2,7,-0.32864774177983463
공공질서및안전,crime_occurrence,-1,8,0.08518243916193152
공공질서및안전,crime_occurrence,0,9,-0.2880781914525913
공공질서및안전,crime_occurrence,1,8,0.21405471885552935
공공질서및안전,crime_occurrence,2,7,0.45762653200468484
국방,defense_op_margin,-2,6,0.4719897588419045
국방,defense_op_margin,-1,7,-0.3480002294645813
국방,defense_op_margin,0,8,0.0599001660561414
국방,defense_op_margin,1,7,-0.1257218774576107
국방,defense_op_margin,2,6,0.6805962327827265
