fld,n_year,amp_mean,amp_std,amp_cv,amp_trend_slope
산업·중소기업및에너지,6,0.4164757457158548,0.21628927942484508,0.5193322327420204,0.038797698903760745
예비비,6,0.4735119334282621,0.22500229458459534,0.47517766338090806,0.07668978554300065
교통및물류,6,0.4740141653354755,0.20638650364647307,0.4354015519030005,0.09573250537196731
사회복지,6,0.16849139907965208,0.06938317388844534,0.41179059498375203,0.02190400269806112
통일·외교,6,0.2577952858434775,0.09871315040198819,0.38291293689136635,-0.013350777672593642
일반·지방행정,6,0.15523798473653175,0.053823021410309174,0.34671295917003864,-0.0197200128179119
보건,6,0.6083862442189057,0.20282970204588335,0.3333896905787251,0.062478647500157684
교육,6,0.26448813794672116,0.0861106484416358,0.325574707374617,0.0016885048013991586
환경,6,0.5975682647156163,0.19226293257819752,0.3217422068890381,0.08325040094322608
농림수산,6,0.33205657632084007,0.10545885044729646,0.31759301772661436,0.04441121936698499
공공질서및안전,6,0.14177809645511416,0.03837556671522573,0.27067344959523904,-0.0011774523102223234
통신,6,0.3604337717451964,0.07649756281832545,0.21223749993151814,0.0300537649140398
문화및관광,6,0.47160739378463695,0.09918582187720623,0.21031439068613456,0.015547367507265849
국토및지역개발,6,0.6296602443170781,0.11776763335614075,0.1870336173071185,0.03607186814188661
국방,6,0.1752156592659934,0.02518418978587588,0.14373252794666858,0.0026001478415184132
과학기술,6,0.7720292391733411,0.07201791563045028,0.09328392226993934,0.015194976761968347
