fld,arch_grp,outcome,n_year,amp_mean,corr_levels,corr_diff,fld_arch
과학기술,chooyeon,rd_total,10,0.7434477306822139,0.5157755133269311,0.1105312645323522,과학기술 / chooyeon
과학기술,direct_invest,rd_total,8,0.6184405182714623,-0.44764690055538703,-0.29192179405759533,과학기술 / direct_invest
과학기술,extreme_gaming,rd_total,10,1.430561667134648,0.2868885100049867,0.24892550086961918,과학기술 / extreme_gaming
과학기술,normal,rd_total,10,0.4207459056362239,-0.7656496105450407,-0.07380690365024965,과학기술 / normal
과학기술,personnel,rd_total,10,0.08566770539947224,-0.3814895059017707,0.007112208092487848,과학기술 / personnel
교육,chooyeon,private_edu_hours,11,0.5253585648955912,0.7825115120921504,0.30045811287636176,교육 / chooyeon
교육,direct_invest,private_edu_hours,11,0.5601994673029951,0.35182397047854924,-0.2663961263843819,교육 / direct_invest
교육,extreme_gaming,private_edu_hours,5,1.0428437019411954,-0.6444051056871822,0.5207803995950068,교육 / extreme_gaming
교육,normal,private_edu_hours,11,0.27299060458646,-0.6088388408343024,-0.42233402516204055,교육 / normal
교육,personnel,private_edu_hours,11,0.13922722664944281,0.3630474275382795,0.25661314602712354,교육 / personnel
국토및지역개발,direct_invest,housing_supply,10,0.4042023359481487,0.305692417196725,-0.0968333742757382,국토및지역개발 / direct_invest
국토및지역개발,extreme_gaming,housing_supply,10,1.4466235911513052,0.7898670119849343,-0.09402910784113942,국토및지역개발 / extreme_gaming
국토및지역개발,normal,housing_supply,10,0.6660342706851394,-0.10730347377360921,0.2734182343905284,국토및지역개발 / normal
국토및지역개발,personnel,housing_supply,10,0.05355132862703382,-0.07600015057402683,0.3419724756479805,국토및지역개발 / personnel
문화및관광,chooyeon,tourists_sample,6,0.7203332062889255,-0.16156541043756673,-0.3838692716933344,문화및관광 / chooyeon
문화및관광,direct_invest,tourists_sample,6,0.5565316999854871,0.27768890127598295,0.7352963401991762,문화및관광 / direct_invest
문화및관광,extreme_gaming,tourists_sample,6,1.1271962223415337,-0.19932171110775798,-0.4121049447717297,문화및관광 / extreme_gaming
문화및관광,normal,tourists_sample,6,0.3454711524067153,-0.08599091191166161,-0.21231268192100555,문화및관광 / normal
문화및관광,personnel,tourists_sample,6,0.06431943306995822,-0.7672199476880649,-0.7139995027295013,문화및관광 / personnel
보건,chooyeon,life_expectancy,10,0.8926054573818888,0.4114838356056891,-0.6304419670703489,보건 / chooyeon
보건,direct_invest,life_expectancy,10,0.5123161668857193,-0.25572140548090533,0.29235688515565733,보건 / direct_invest
보건,extreme_gaming,life_expectancy,10,1.1197085845511103,0.7386577733421478,0.20161799943499675,보건 / extreme_gaming
보건,normal,life_expectancy,10,0.5084765653892597,0.45950419306607737,0.4298139446079169,보건 / normal
보건,personnel,life_expectancy,10,0.06550562581297369,0.058832161521706505,0.6887502701089602,보건 / personnel
사회복지,chooyeon,wealth_gini,9,0.4679948417839031,0.7456180979825261,0.5309031081596868,사회복지 / chooyeon
사회복지,direct_invest,wealth_gini,9,0.521486624743608,-0.5479866646047922,0.1340762638751507,사회복지 / direct_invest
사회복지,extreme_gaming,wealth_gini,9,1.3683445362547955,0.04918140518728382,-0.5406015208117335,사회복지 / extreme_gaming
사회복지,normal,wealth_gini,9,0.38364896508310964,0.7562101365961319,-0.5484978686715798,사회복지 / normal
사회복지,personnel,wealth_gini,9,0.07624728694476267,0.8188202919726733,-0.22332857054133953,사회복지 / personnel
산업·중소기업및에너지,chooyeon,industry_production_index,11,0.8126767675293916,0.8902359155097431,0.5395632570276302,산업·중소기업및에너지 / chooyeon
산업·중소기업및에너지,direct_invest,industry_production_index,11,0.49364195809829775,-0.1427741244951556,-0.025258934721924496,산업·중소기업및에너지 / direct_invest
산업·중소기업및에너지,extreme_gaming,industry_production_index,6,1.2565647157518802,0.5271311985396651,-0.34958428774892525,산업·중소기업및에너지 / extreme_gaming
산업·중소기업및에너지,normal,industry_production_index,11,0.3469095500902584,0.7153157855330392,0.7460460703870867,산업·중소기업및에너지 / normal
산업·중소기업및에너지,personnel,industry_production_index,11,0.05854681935985546,-0.07718139287751788,0.09320186104782431,산업·중소기업및에너지 / personnel
일반·지방행정,chooyeon,local_tax_per_capita,6,0.5483691678274112,-0.34017560328584173,0.20558348327672601,일반·지방행정 / chooyeon
일반·지방행정,direct_invest,local_tax_per_capita,6,0.5504454241388083,-0.08261678572843938,-0.20555911915446967,일반·지방행정 / direct_invest
일반·지방행정,extreme_gaming,local_tax_per_capita,6,0.8649263082386263,0.06801644964517455,0.12635232887843068,일반·지방행정 / extreme_gaming
일반·지방행정,normal,local_tax_per_capita,6,0.3897228795791865,-0.09953405451780838,-0.6992599511102616,일반·지방행정 / normal
일반·지방행정,personnel,local_tax_per_capita,6,0.07174355479334388,0.3147470588350785,0.3085928080634798,일반·지방행정 / personnel
