year,h0_pairs,h1_pairs,w2_vs_2015_h0,w2_vs_2015_h1,bn_vs_2015_h0,bn_vs_2015_h1,w2_consecutive_h0,w2_consecutive_h1,bn_consecutive_h0,bn_consecutive_h1
2015,299,142,0.0,0.0,0.0,0.0,,,,
2016,299,126,14.157088153064251,10.870232927859869,1.1426000595092773,0.39755988121032715,14.157088153064251,10.870232927859869,1.1426000595092773,0.39755988121032715
2017,299,132,12.95976622402668,10.112416924942982,0.5113880634307861,0.44937872886657715,15.768254585564137,9.603044796931869,1.4489326477050781,0.302972674369812
2018,298,132,21.408197379633595,11.06184934517152,0.9607791900634766,0.39755988121032715,18.727486486757275,9.375689500723125,0.9231588840484619,0.292097806930542
2019,299,149,31.87904614813305,10.387861788541453,0.8850893974304199,0.39755988121032715,17.229378532408525,9.837138461519412,0.5933127403259277,0.28884243965148926
2020,298,123,33.206029465096265,10.793003577448118,0.8520450592041016,0.39755988121032715,43.29230321210692,9.12579764178057,1.5697147846221924,0.3288336992263794
2021,299,115,20.807078797639257,11.67488024026402,0.702385425567627,0.39755988121032715,41.563924176586305,10.902817515797903,0.9376187324523926,0.3071533441543579
2022,299,133,27.748618565499783,11.15819398586499,1.4235734939575195,0.39755988121032715,29.433177523314953,10.794163291774797,0.8613338470458984,0.24274039268493652
2023,298,124,24.097499739927823,11.133304417871651,0.5953469276428223,0.39755988121032715,28.179697638225363,8.652392064762747,1.0180363655090332,0.22031092643737793
2024,298,120,22.266635545875264,9.86636345221138,0.5779690742492676,0.44937872886657715,18.354079842567444,9.175820584306646,0.6363170146942139,0.31508541107177734
2025,299,126,16.934731401503086,9.33571577255008,0.5649423599243164,0.39755988121032715,10.367814315893245,9.348686850608503,0.4531254768371582,0.3148043155670166
