FLD_NM,mean_eok,amp_12m_norm,amp_6m_norm,amp_3m_norm,season_strength,trend_strength
과학기술,791049.83939375,0.7456970518823253,0.42412498706890567,0.1496275671495996,0.8059816341310225,0.0
국토및지역개발,386784.8714798611,0.6069981058511704,0.06692568034896865,0.7129879195816988,0.8617284310146127,0.025477626298286538
환경,907542.8012006666,0.6007191192860938,0.1168913738214181,0.36073800514195525,0.8638354371140617,0.11480785216241784
보건,1971638.176238611,0.5367731575161662,0.4291367684048186,0.43356635394686605,0.847421616400962,0.3579233355228505
문화및관광,898666.9146646389,0.4665443795995025,0.23949252515875322,0.17848143742042782,0.7949613953643495,0.12538503563370818
교통및물류,1810657.1779424169,0.44912322717690506,0.06001033087437151,0.5938270609351763,0.8279392729446152,0.0
산업·중소기업및에너지,6652091.333065875,0.41603056378291103,0.18744216487271034,0.1500620983675033,0.22239401062842146,0.0
예비비,50144.444444444445,0.35965156071950466,0.29218687249013586,0.0701893424397149,0.5294517381058379,0.044458972502675054
통신,787446.3128070834,0.317961344839861,0.022680359752426386,0.10603442714797488,0.5397395274891938,0.17630215413135464
농림수산,2416264.452214472,0.3164181598596844,0.18572991370068065,0.28928848136977936,0.7035109070716004,0.028893531692417818
교육,7197460.481697861,0.2521318980180756,0.1968717749746354,0.08634145894403233,0.7337300474758033,0.2582811186216377
통일·외교,464796.8080622917,0.21282457198560525,0.21899944278362896,0.40711567661714304,0.6497492833082001,0.35180446698626655
국방,4384197.583384305,0.1722607254239096,0.24421057276492444,0.5636600338796738,0.9499578466250843,0.37728577093068305
사회복지,19990264.914158873,0.16573124254665567,0.0667162439696516,0.06955361357730162,0.8274562131302905,0.5053525619051951
공공질서및안전,1924000.68669875,0.13704510434550046,0.08666002770960356,0.22601218341941015,0.8343678844494826,0.37866091402695257
일반·지방행정,27561096.07358672,0.12404622196067303,0.07597650021288248,0.7463956746588828,0.9458673137658493,0.4465667523315019
