SECT_NM,cluster
국가유산,1
통일,1
무역및투자유치,2
산업단지,2
유아및초중등교육,2
문화재,3
지방행정·재정지원,3
건강보험,4
경찰,4
고등교육,4
고용,4
고용노동일반,4
과학기술연구개발,4
과학기술연구지원,4
과학기술인력및문화,4
과학기술일반,4
관광,4
교육일반,4
국정운영,4
기초생활보장,4
기후대기및환경안전,4
노동,4
노인,4
농업·농촌,4
문화및관광일반,4
문화예술,4
물류등기타,4
물환경,4
방송통신,4
방위력개선,4
법무및검찰,4
법원및헌재,4
병력운영,4
병무행정,4
사회복지일반,4
산업금융지원,4
산업혁신지원,4
수산·어촌,4
수자원,4
식품업,4
식품의약안전,4
아동·보육,4
에너지및자원개발,4
여성·가족·청소년,4
예비비,4
외교·통상,4
우정,4
일반행정,4
임업·산촌,4
입법및선거관리,4
자연환경,4
자원순환및환경경제,4
재난관리,4
재정·금융,4
전력유지,4
정보통신,4
정부자원관리,4
주택,4
지식재산일반,4
지역및도시,4
창업및벤처,4
철도,4
체육,4
취약계층지원,4
평생·직업교육,4
항공·공항,4
해경,4
해양환경,4
해운·항만,4
환경일반,4
보훈,5
공적연금,6
보건의료,6
중소기업및소상공인육성,6
산업·중소기업일반,7
도로,8
