FLD_NM,n,dec_mean,dec_med,hhi_mean,hhi_med,gini_mean,gini_med,amp12_mean,amp12_med
교통및물류,109,10.247,7.406,0.32,0.228,0.613,0.656,0.975,0.926
예비비,1,6.0,6.0,0.135,0.135,0.434,0.434,0.906,0.906
산업·중소기업및에너지,151,6.02,0.839,0.263,0.195,0.555,0.581,0.889,0.868
환경,75,6.327,3.976,0.229,0.183,0.511,0.559,0.824,0.864
농림수산,182,10.588,8.043,0.247,0.174,0.535,0.526,0.825,0.782
국토및지역개발,37,9.669,8.346,0.322,0.228,0.623,0.62,0.989,0.778
교육,54,6.941,0.373,0.286,0.242,0.58,0.658,0.783,0.671
과학기술,76,9.355,5.904,0.272,0.238,0.552,0.654,0.808,0.664
보건,84,9.155,4.445,0.261,0.213,0.555,0.619,0.709,0.648
통신,69,8.9,5.669,0.231,0.189,0.511,0.579,0.689,0.641
문화및관광,111,10.071,5.921,0.229,0.149,0.48,0.469,0.651,0.579
사회복지,238,7.865,5.369,0.199,0.146,0.43,0.436,0.572,0.486
통일·외교,47,18.083,13.152,0.203,0.137,0.433,0.435,0.548,0.446
일반·지방행정,194,11.817,8.636,0.212,0.13,0.42,0.392,0.575,0.416
공공질서및안전,98,15.864,14.057,0.199,0.117,0.369,0.331,0.48,0.284
국방,82,17.507,14.982,0.167,0.132,0.396,0.401,0.388,0.237
