FLD_NM,med_d12,med_d11,n,ratio_12_over_11
사회복지,65255200.32258064,50752399.83333333,2660,1.29
환경,51375900.0,34454989.666666664,821,1.49
일반·지방행정,35588795.48387097,20061333.333333332,2423,1.77
통신,67939973.87096775,36670977.5,590,1.85
문화및관광,64318192.258064516,34463965.0,1193,1.87
산업·중소기업및에너지,53617091.29032259,28333181.333333332,1374,1.89
통일·외교,30700327.967741936,16181592.666666668,752,1.9
교육,64798732.58064516,33131506.666666668,473,1.96
국토및지역개발,38791201.451612905,19363680.666666664,450,2.0
농림수산,82747375.48387097,38660373.5,1938,2.14
과학기술,37271644.03225806,17057008.5,674,2.19
보건,21009481.935483873,8778979.0,1382,2.39
외교·통일,39342226.129032254,16326861.0,78,2.41
공공질서및안전,81268607.09677419,33517431.333333332,1499,2.42
국방,266992138.38709676,108797766.66666667,1147,2.45
교통및물류,98460600.32258065,30058025.666666668,1207,3.28
