FLD_NM,1,2,3,4,5,6,7,8,9,10,11,12
공공질서및안전,8.7,7.5,9.3,7.9,6.3,9.5,6.7,5.6,7.5,6.9,7.2,17.0
과학기술,13.4,15.4,12.6,10.4,6.0,7.1,6.7,4.3,5.2,6.1,4.0,8.7
교육,9.7,14.5,15.9,11.2,6.4,7.8,7.9,6.3,5.2,4.5,3.9,6.6
교통및물류,8.0,12.3,17.7,8.9,7.4,12.0,4.1,3.3,5.1,3.8,4.5,12.9
국방,5.6,6.2,9.8,7.0,6.9,13.7,5.7,5.5,7.1,5.9,6.9,19.7
국토및지역개발,5.4,10.7,16.9,7.9,7.2,13.5,4.6,3.8,6.2,4.6,4.9,14.3
농림수산,6.5,11.4,14.9,10.7,7.6,10.6,5.7,4.9,6.0,5.3,5.4,11.0
문화및관광,8.8,11.6,12.5,9.4,7.0,8.8,7.6,6.0,6.3,5.4,4.9,11.8
보건,12.7,9.4,8.6,10.1,6.6,8.4,8.3,5.5,6.3,6.5,5.2,12.4
사회복지,11.6,8.5,9.7,10.1,7.2,7.9,8.3,5.9,6.6,7.0,6.1,11.3
산업·중소기업및에너지,9.8,11.5,13.8,10.7,7.4,9.1,6.6,4.8,6.2,5.8,4.9,9.5
예비비,0.0,12.4,8.5,8.3,8.4,8.3,9.8,8.0,9.9,10.0,9.4,7.0
외교·통일,7.0,7.8,11.0,7.5,6.4,9.1,6.9,5.1,8.3,7.4,6.5,16.9
일반·지방행정,9.2,8.8,10.1,9.0,7.3,10.0,6.7,5.2,7.7,5.8,5.8,14.4
통신,8.7,8.0,14.9,12.5,6.5,7.9,7.2,5.7,5.7,6.9,5.6,10.4
통일·외교,7.8,8.4,10.9,8.1,6.5,8.4,7.0,5.9,7.2,6.5,6.5,16.7
환경,8.3,12.8,15.1,9.5,7.0,8.6,5.8,4.8,5.8,5.4,5.8,10.9
