rank,field,ministry,program,activity,archetype,exposure_score,amp_12m_norm,dec_pct,dec_jump_ratio,chooyeon_pct,direct_invest_pct,personnel_pct,total_budget,year_n
1,일반·지방행정,국세청,과세기반확충,부동산납세 지원,정상사업,0.7201942904831132,1.1487272241577733,0.6269497887204224,7.523397464645069,0.0,0.0,0.0,46003000.0,8
2,통일·외교,외교부,다자관계 협력,국제기구 협력강화,정상사업,0.7187533781426896,1.1743923352209995,0.6120215166488064,7.344258199785678,0.0,0.0017341722732183,0.0173282488491814,110139000.0,10
3,공공질서및안전,법무부,검찰활동,형사사법선진화,정상사업,0.45241677973817734,1.0197677064067776,0.4436468981080989,5.323762777297187,0.0,0.0,0.0,1893000.0,11
4,사회복지,보건복지부,사회복지기반조성,복지사업평가,정상사업,0.4370344229228625,1.0247692809443445,0.426471041872105,5.11765250246526,0.0,0.0,0.0,28210000.0,11
5,일반·지방행정,공정거래위원회,경쟁촉진,시장구조개선,정상사업,0.4252710706252643,1.0536410136974774,0.4036204600017294,4.843445520020754,0.0,0.0,0.0331678851881938,3693000.0,11
6,일반·지방행정,통계청,국가기본통계생산 및 지원,농림어업총조사,정상사업,0.42069489240207764,1.5219911405558688,0.2764108681003422,3.3169304172041065,0.0,0.0,0.2052098341453025,37563000.0,10
7,일반·지방행정,기획재정부,경제정책,중장기 경제전략 기획사업,정상사업,0.4031346902424265,0.9821060576965912,0.4104797919564097,4.925757503476917,0.0,0.0,0.0,5681000.0,10
8,사회복지,여성가족부,성평등정책기반강화및여성경제활동지원,정책협의및평가,정상사업,0.3910524765995233,1.3209053081491968,0.2960488342252568,3.5525860107030818,0.0,0.0,0.0,25863000.0,6
9,보건,보건복지부,국립공주병원,국립공주병원 운영(자본),자산취득형,0.384867856758262,1.131120975307094,0.3402534876110596,4.083041851332716,0.0,1.0,0.0,5300000.0,11
10,보건,보건복지부,국립부곡병원,부곡병원기본경비(자본),자산취득형,0.3755707835116562,0.8923023509368911,0.4209008113867659,5.050809736641191,0.0,1.0,0.0,1015000.0,11
11,사회복지,고용노동부,근로조건보호및복지증진,최저임금제도지원,정상사업,0.3608290080957428,1.196500308280849,0.3015703427725713,3.6188441132708555,0.0,0.0,0.156623542476402,3602000.0,6
12,일반·지방행정,공정거래위원회,경쟁촉진,선진 경쟁정책 추진,정상사업,0.35489259757422414,1.0060889326856597,0.3527447584845922,4.232937101815106,0.0,0.382942861958537,0.0,11866000.0,11
13,교통및물류,해양수산부,해양수산행정지원,해양수산정책지원,정상사업,0.34859867883161644,0.9623651970894174,0.3622311778168207,4.346774133801849,0.0,0.0,0.0,12300000.0,11
14,일반·지방행정,행정안전부,지방재정경제,지자체재정분석및재정제도개선,정상사업,0.3469637164193806,0.9671020997479484,0.3587663769004413,4.3051965228052955,0.0,0.0,0.0,5343000.0,8
15,교통및물류,국토교통부,일반공항건설및관리,일반공항관리,자산취득형,0.32303207636589537,0.9097103013840048,0.3550933477112928,4.261120172535514,0.0398960363872644,0.7701494476933073,0.0,76950000.0,11
16,공공질서및안전,소방청,소방정책지원,소방시설장비지원,정상사업,0.3200510592388322,1.1487032628626404,0.2786194394897469,3.3434332738769625,0.0,0.3488815203404929,0.0,80824000.0,6
17,보건,보건복지부,국립나주병원,나주병원운영(자본),자산취득형,0.3163943123001028,1.00715538215159,0.3141464742254451,3.7697576907053416,0.0,1.0,0.0,6492000.0,11
