institution,dataset_group,n_datasets
통계청,1인당하루스팸수신량내역,1
한국은행,2015기준소비자물가지수내역,1
기획재정부,2025년 이전 순자산변동표,1
통계청,24개암종암발생시기성별5년상대생존율내역,1
통계청,ICT수입액현황,1
통계청,OECD국가지니계수내역,1
통계청,OECD주요국의삶의만족도내역,1
국고보조금통합관리시스템,e나라도움분야부문별보조사업자현황수신내역,1
국고보조금통합관리시스템,e나라도움중앙부처별보조금예산현황내역,1
통계청,가구주의성연령별추계가구내역,1
통계청,가구특성별비목별소비지출내역,1
e-나라지표,각군현역병모집입영현황내역,1
통계청,개발제한구역현황,1
통계청,건축물현황내역,1
e-나라지표,건축허가면적내역,1
한국은행,건축허가현황내역,1
e-나라지표,경찰인력현황,1
통계청,고용보험지출내역,1
e-나라지표,공사계약실적,1
공연예술통합전산망,공연예매수및매출금액내역,1
e-나라지표,관세환급실적내역,1
e-나라지표,국가신용등급내역,1
e-나라지표,국제회의개최건수및순위내역,1
e-나라지표,기관신뢰도,1
네이버,네이버검색용어동향내역,1
e-나라지표,노후준비방법18세이상인구내역,1
e-나라지표,노후준비방법가구주주된응답2013년이전내역,1
e-나라지표,노후준비방법가구주주된응답2015년이후내역,1
통계청,댐저수현황내역,1
통계청,등록장애인수내역,1
e-나라지표,마약사범밀수사범단속현황내역,1
e-나라지표,무대전문인력배출추이내역,1
통계청,문화재보수정비내역,1
통계청,미세먼지인식도현황,1
e-나라지표,보건복지부일반회계예산내역,1
e-나라지표,부가가치세신고현황내역,1
e-나라지표,부담금규모내역,1
e-나라지표,분류심사상담조사대안교육실시인원현황,1
통계청,비만율내역,1
통계청,사회단체참여율내역,1
한국은행,산업별사업체수및종사자수내역,1
통계청,산업소분류별총괄현황,1
통계청,산업중분류별자본금규모별연구개발기업체수연구개발비현황,1
통계청,상권별소규모상가수익률내역,1
brightics,성연령및교육정도별인구내역,1
통계청,성연령별경제활동인구내역,1
통계청,성활동상태별비경제활동인구내역,1
통계청,세대당건강보험료부담액내역,1
기획재정부,세부사업 예산편성현황(총지출),1
통계청,소규모상가공실률내역,1
통계청,소득5분위별가구당가계수지_전국1인이상실질내역,1
e-나라지표,소재부품산업동향내역,1
brightics,순이동인구내역,1
통계청,시군군농가인구내역,1
통계청,시도강수량내역,1
통계청,시도경제활동참가율내역,1
통계청,시도산업별광공업생산지수현황,1
통계청,시도예금은행대출금액내역,1
통계청,신주택보급률내역,1
통계청,신체활동실천율내역,1
e-나라지표,양자ODA지원분야별배분내역,1
e-나라지표,어린이보호구역지정현황내역,1
e-나라지표,어음부도율,1
통계청,여가활용만족도현황,1
통계청,연도별전국청소년상담내용현황내역,1
통계청,연령별경제활동인구내역,1
통계청,예금은행예금액내역,1
e-나라지표,외국법인법인세신고현황,1
통계청,운수업종사자수현황,1
한국재정정보원,유동인구 성연령 데이터,1
통계청,유치원교원수현황,1
통계청,의료기관수술인원내역,1
통계청,인구천명당의료기관종사의사수내역,1
통계청,인구천명당주택수내역,1
통계청,일반가구행정구역별점유형태내역,1
통계청,일반적범죄두려움현황,1
통계청,일반회계중사회복지예산비중내역,1
e-나라지표,장애아전문시설및통합시설내역,1
통계청,재별및상품군별판매액지수현황,1
통계청,재정자주도내역,1
한국도로공사,전국고속도로교통량내역,1
통계청,정부부채현황,1
e-나라지표,조세부담률내역,1
e-나라지표,조정신청건수및조정성립률내역,1
brightics,종사상지위별계절조정취업자내역,1
