field,n_datasets,n_institutions
2015기준농산물및석유류소비자물가지수내역,1,1
주요국PKO파견현황내역,1,1
EQ5D내역,1,1
GDP대비공공부문부채비율내역,1,1
IMD과학기술인프라현황,1,1
OECD고용률내역,1,1
OECD공공사회복지지출내역,1,1
OECD국가출산율내역,1,1
OECD국내금융현황,1,1
OECD국제금융현황,1,1
OECD국제수지현황,1,1
OECD소비자신뢰지수내역,1,1
OECD연령별성별실업률내역,1,1
WEF과학기술경쟁력내역,1,1
가계신용동향,1,1
가스수급동향및전망내역,1,1
개발행위허가현황내역,1,1
건강보험공단사회보험료체납내역,1,1
경제권별수출입실적내역,1,1
고등학교내역,1,1
공공기관인력내역,1,1
공공데이터개방및활용,1,1
공급원별골재채취현황내역,1,1
공연장등문화시설추이내역,1,1
공연전시건수내역,1,1
공종별건설기성액불변현황,1,1
공종별계절조정건설기성금액내역,1,1
교정시설1일평균수용인원내역,1,1
교통사고현황내역,1,1
구인배수내역,1,1
2025년 이전 소관별 재정운영표,1,1
국가유공자평균연령내역,1,1
국내박사학위취득자현황내역,1,1
국립공원현황내역,1,1
국민연금가입자수내역,1,1
국유재산 증감 및 현재액 총괄,1,1
궁능원관람객수내역,1,1
노동조합조직내역,1,1
농약및화학비료사용량현황,1,1
도시2인이상세대월평균가계수지내역,1,1
문화재자료내역,1,1
발주자별건설기성액현황,1,1
병영생활관개선현황,1,1
뺑소니교통사고율현황,1,1
사고발생현황내역,1,1
사고원인별해양오염사고발생현황내역,1,1
사업장분류별장애인종사자수내역,1,1
사업체수현황,1,1
사이버범죄발생및검거내역,1,1
사회복지지출규모내역,1,1
산업별인력부족내역,1,1
상권별소규모상가공실률현황,1,1
상권별중대형상가수익률현황,1,1
상수도통계내역,1,1
생물의약품생산및수입실적내역,1,1
성및거처의종류별1인가구내역,1,1
성연령및교육정도별인구내역,1,1
세계국제회개최건수내역,1,1
수출금액지수내역,1,1
순이동인구내역,1,1
시군구별고령인구내역,1,1
시도국내관광내역,1,1
시도특성별독서내역,1,1
실업급여지급액내역,1,1
