archetype,k,period_months,phase_coherence,amplitude_correlation,n_pairs
C0_personnel,1,12.0,0.4058482508653552,-0.0212644688991194,500
C0_personnel,2,6.0,0.3216122194972645,-0.0322784979026283,500
C0_personnel,3,4.0,0.0918501945285394,-0.0212829919633719,500
C0_personnel,4,3.0,0.5210857004132087,0.1216353667652259,499
C0_personnel,5,2.4,0.0269430585201967,-0.0006736799336925,499
C0_personnel,6,2.0,0.372,0.1425019285110992,500
C1_direct_invest,1,12.0,0.0837228209508092,0.03014146050571,500
C1_direct_invest,2,6.0,0.2161917527691986,-0.0287712421943409,500
C1_direct_invest,3,4.0,0.1026301179413401,-0.0748079657752081,499
C1_direct_invest,4,3.0,0.536460976886607,0.1060664253514965,500
C1_direct_invest,5,2.4,0.0438199263672531,-0.0182592343327696,499
C1_direct_invest,6,2.0,0.2985971943887775,-0.0060395254857073,499
C2_chooyeon,1,12.0,0.5426684815697174,0.0067332664407515,500
C2_chooyeon,2,6.0,0.129302742580468,-0.0038146145275268,499
C2_chooyeon,3,4.0,0.1443033243715545,-0.0227726227765039,500
C2_chooyeon,4,3.0,0.0290495271181813,0.0140647208634645,500
C2_chooyeon,5,2.4,0.0955393451114214,-0.0133500697596299,500
C2_chooyeon,6,2.0,0.008,0.0037415056158232,500
C3_normal,1,12.0,0.1257688421539944,-0.0157574004743236,500
C3_normal,2,6.0,0.1317507604711857,-0.0025132074590827,500
C3_normal,3,4.0,0.0927831806675229,0.0029203283331951,500
C3_normal,4,3.0,0.2515244141652933,-0.0216724598928826,500
C3_normal,5,2.4,0.0329675855151804,-0.0007318568759364,500
C3_normal,6,2.0,0.132,0.0612224123056673,500
