ministry,n_activities,exposure_score,exposure_budget_weighted,co_cluster_id,pct_grant_program,pct_extreme_gaming,pct_mild_gaming
국무조정실 및 국무총리비서실,33,0.7757575757575758,0.847243585170322,4,0.7575757575757576,0.0,0.0
과학기술정보통신부,103,0.5601941747572815,0.6967774603494576,4,0.5048543689320388,0.0194174757281553,0.029126213592233
방위사업청,24,0.525,0.7623403428919624,0,0.2916666666666667,0.0,0.3333333333333333
산업통상자원부,62,0.4225806451612903,0.778302540767538,4,0.3870967741935484,0.0161290322580645,0.0161290322580645
원자력안전위원회,5,0.4,0.7870269654963068,4,0.4,0.0,0.0
행정중심복합도시건설청,11,0.3818181818181818,0.6422932428820778,0,0.0,0.0,0.5454545454545454
교육부,37,0.3378378378378378,0.6526719914137357,4,0.2702702702702703,0.054054054054054,0.027027027027027
금융위원회,11,0.3090909090909091,0.0988669412973877,1,0.0909090909090909,0.1818181818181818,0.0
중소벤처기업부,33,0.2909090909090909,0.8054319624320766,1,0.2727272727272727,0.0,0.0
농촌진흥청,29,0.2896551724137931,0.514139051748069,1,0.2068965517241379,0.0689655172413793,0.0
공정거래위원회,14,0.2714285714285714,0.4636331898683207,3,0.1428571428571428,0.0,0.0
외교부,38,0.2552631578947368,0.3039293912214989,3,0.1842105263157894,0.0263157894736842,0.0
국토교통부,98,0.246938775510204,0.4614121474338619,1,0.0918367346938775,0.0612244897959183,0.1428571428571428
조달청,14,0.2428571428571428,0.1931095982454594,0,0.0,0.0,0.2857142857142857
특허청,19,0.2157894736842105,0.0060067581682736,1,0.0,0.0,0.2631578947368421
기획재정부,28,0.1785714285714285,0.3355383358424765,3,0.0714285714285714,0.0,0.0
고용노동부,43,0.1767441860465116,0.2269336496826267,1,0.0930232558139534,0.0465116279069767,0.0
소방청,14,0.1714285714285714,0.2992270354587679,2,0.0714285714285714,0.0,0.1428571428571428
대법원,17,0.1705882352941176,0.0327277794390505,2,0.0,0.0588235294117647,0.1176470588235294
행정안전부,88,0.1693181818181818,0.2437710429864118,1,0.0795454545454545,0.0909090909090909,0.0113636363636363
보건복지부,126,0.1563492063492063,0.2475842617603889,1,0.0238095238095238,0.0555555555555555,0.1111111111111111
해양수산부,80,0.1549999999999999,0.3639583089979941,1,0.0125,0.0625,0.1125
기상청,26,0.1461538461538461,0.2446170486351829,3,0.0769230769230769,0.0769230769230769,0.0
방송통신위원회,7,0.1428571428571428,0.1934442266930525,3,0.1428571428571428,0.0,0.0
여성가족부,20,0.13,0.1176069422761779,1,0.1,0.0,0.0
환경부,44,0.1159090909090909,0.1817811181927782,1,0.0681818181818181,0.0227272727272727,0.0
국방부,63,0.1142857142857142,0.0810752272135547,2,0.0158730158730158,0.0,0.1269841269841269
해양경찰청,15,0.1133333333333333,0.1212271497596663,2,0.0666666666666666,0.0,0.0666666666666666
질병관리청,29,0.1034482758620689,0.0196682940352488,2,0.0,0.0344827586206896,0.1034482758620689
농림축산식품부,56,0.0964285714285714,0.2532944221380867,1,0.0357142857142857,0.0535714285714285,0.0178571428571428
문화재청,27,0.0925925925925925,0.2110506738169787,1,0.0,0.074074074074074,0.037037037037037
통계청,13,0.0923076923076923,0.0923061511080947,3,0.0,0.0,0.0
민주평화통일자문회의,7,0.0857142857142857,0.0782023541630604,3,0.0,0.0,0.0
산림청,51,0.0764705882352941,0.1810835599845271,1,0.0,0.0392156862745098,0.0588235294117647
감사원,8,0.075,0.0020980256611353,3,0.0,0.0,0.0
병무청,10,0.0699999999999999,0.0055176889468906,2,0.0,0.0,0.1
국민권익위원회,9,0.0666666666666666,0.0104105080619817,3,0.0,0.0,0.0
경찰청,34,0.0588235294117647,0.0029786608729149,2,0.0,0.0,0.0588235294117647
법무부,38,0.0499999999999999,0.0040771939416587,2,0.0,0.0,0.0263157894736842
통일부,25,0.04,0.2855271324438773,2,0.04,0.0,0.0
문화체육관광부,56,0.0392857142857142,0.0277175302019048,1,0.0178571428571428,0.0,0.0
식품의약품안전처,27,0.037037037037037,0.0428720603698309,3,0.037037037037037,0.0,0.0
관세청,18,0.0333333333333333,0.0005404365519792,2,0.0,0.0,0.0
국회,29,0.0206896551724137,0.0008922494097696,2,0.0,0.0,0.0
국가인권위원회,8,0.0,0.0,2,0.0,0.0,0.0
국세청,27,0.0,0.0,3,0.0,0.0,0.0
대통령비서실 및 국가안보실,5,0.0,0.0,2,0.0,0.0,0.0
법제처,6,0.0,0.0,3,0.0,0.0,0.0
인사혁신처,21,0.0,0.0,3,0.0,0.0,0.0
중앙선거관리위원회,8,0.0,0.0,1,0.0,0.0,0.0
헌법재판소,7,0.0,0.0,2,0.0,0.0,0.0
